RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,206,4003,144962,City of London Academy Highbury Grove,AC,0,0,2,14,25,2,52,92%,0%,92%,38%,35%,6%,0%,52,92%,14,24,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,88%,35%,35%,4%,0%
1,206,4307,100455,Highbury Fields School,CY,0,0,3,8,19,-3,52,85%,0%,85%,29%,27%,0%,0%,51,86%,9,19,-1,3,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,78%,0%,78%,25%,22%,0%,0%
1,206,4614,100458,Central Foundation Boys' School,VA,0,0,2,11,19,2,93,86%,2%,84%,33%,28%,3%,0%,82,89%,9,17,0,3,11,64%,25,53,-3,3,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,206,4651,100459,St Aloysius RC College,VA,0,0,1,19,32,5,38,89%,0%,89%,26%,26%,0%,0%,38,89%,19,31,6,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,89%,21%,21%,0%,0%
1,206,6905,134314,St Mary Magdalene Academy,AC,0,0,3,0,8,-8,98,85%,1%,83%,48%,47%,3%,1%,98,85%,0,7,-7,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,SUPP,76%,38%,36%,0%,SUPP
1,206,6906,135587,City of London Academy Islington,AC,0,0,3,-8,4,-20,47,64%,0%,62%,26%,26%,0%,2%,47,64%,-8,3,-19,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,59%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
LA,206,,,,,,,NA,6,NA,NA,380,84%,1%,83%,36%,33%,2%,SP,368,85%,6,NA,NA,NA,11,64%,25,NA,NA,NA,1,0%,-33,NA,NA,NA,88%,SUPP,87%,43%,42%,4%,SUPP
1,207,4000,140212,Kensington Aldridge Academy,AC,0,0,2,11,19,2,101,90%,0%,89%,40%,38%,1%,1%,101,90%,11,18,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,87%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,207,4320,140134,Holland Park School,ACC,0,1,3,-2,6,-10,103,87%,0%,86%,69%,64%,6%,1%,103,87%,-2,5,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,207,5402,141931,The Cardinal Vaughan Memorial RC School,ACC,0,0,3,2,8,-4,181,91%,2%,89%,72%,67%,7%,1%,181,91%,2,7,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,207,6905,135531,Chelsea Academy,AC,0,0,3,7,15,-1,97,89%,1%,88%,40%,39%,4%,0%,97,89%,7,14,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,207,8600,130411,St Charles Catholic Sixth Form College,Sixth Form College,0,0,1,21,25,16,344,78%,1%,77%,6%,5%,0%,1%,230,84%,19,24,13,1,7,57%,18,54,-18,3,107,66%,26,35,16,1,80%,SUPP,78%,6%,5%,0%,SUPP
LA,207,,,,,,,NA,11,NA,NA,826,85%,1%,84%,36%,34%,3%,1%,712,88%,9,NA,NA,NA,7,57%,18,NA,NA,NA,107,66%,26,NA,NA,NA,86%,1%,84%,45%,42%,4%,SP
1,208,4000,139659,Oasis Academy South Bank,F,0,0,3,-3,9,-15,47,81%,0%,81%,34%,34%,2%,0%,47,81%,-3,8,-14,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,0%,85%,38%,38%,SUPP,0%
1,208,4002,140564,King's College London Maths School,F1619,0,0,3,1,11,-9,68,94%,1%,93%,93%,91%,25%,0%,68,94%,1,10,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,208,4005,142905,South Bank University Sixth Form,UTC,0,0,3,10,21,-1,51,67%,2%,63%,4%,4%,0%,2%,22,91%,15,31,-1,3,29,48%,5,22,-12,3,0,0%,NA,NA,NA,NA,64%,SUPP,61%,0%,0%,0%,SUPP
1,208,4223,100624,The Norwood School,CY,0,0,3,11,22,0,53,79%,2%,77%,17%,13%,2%,0%,43,79%,7,18,-4,3,10,80%,27,57,-3,3,0,0%,NA,NA,NA,NA,72%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,208,4321,100625,Lilian Baylis Technology School,CY,0,0,3,5,14,-4,83,77%,1%,76%,12%,10%,1%,0%,83,77%,5,13,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,208,4731,144309,The Elmgreen School,ACC,0,0,3,9,17,0,104,80%,0%,80%,23%,17%,2%,0%,104,80%,9,16,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,82%,0%,82%,21%,16%,0%,0%
1,208,5400,100637,La Retraite Roman Catholic Girls' School,VA,0,0,1,17,24,9,112,84%,0%,83%,15%,13%,0%,1%,108,85%,17,24,9,1,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,83%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,5401,100638,Bishop Thomas Grant Catholic Secondary School,VA,0,0,2,14,20,7,149,87%,2%,84%,28%,24%,3%,1%,112,91%,11,18,3,2,0,0%,NA,NA,NA,NA,37,73%,24,39,8,2,85%,SUPP,81%,30%,22%,0%,SUPP
1,208,5402,137093,Dunraven School,ACC,0,0,3,2,9,-5,113,87%,3%,84%,39%,39%,3%,0%,113,87%,2,9,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,3%,77%,23%,23%,0%,0%
