RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,314,5403,137859,Coombe Boys' School,ACC,0,0,46,43,1,35,0,35,0,7,2,1,93%,2%,76%,0%,76%,0%,15%,4%,2%,11,10,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,91%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,35,33,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,94%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,43,42,0,35,0,35,0,7,1,0,98%,0%,81%,0%,81%,0%,16%,2%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,314,5404,137678,The Hollyfield School and Sixth Form Centre,ACC,0,0,97,86,1,69,5,62,2,16,8,3,89%,1%,71%,5%,64%,2%,16%,8%,3%,12,8,SUPP,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,67%,SUPP,58%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,85,78,SUPP,62,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,92%,SUPP,73%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,90,82,0,69,5,62,2,13,5,3,91%,0%,77%,6%,69%,2%,14%,6%,3%,11,SUPP,0,7,0,SUPP,SUPP,SUPP,3,SUPP,SUPP,0%,64%,0%,SUPP,SUPP,SUPP,27%,SUPP,79,SUPP,0,62,5,SUPP,SUPP,SUPP,2,SUPP,SUPP,0%,78%,6%,SUPP,SUPP,SUPP,3%,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,314,8001,130448,South Thames Colleges Group,General Further Education College,0,0,1517,1044,99,576,242,332,2,369,339,134,69%,7%,38%,16%,22%,SP,24%,22%,9%,503,301,28,162,SUPP,90,SUPP,111,168,34,60%,6%,32%,SUPP,18%,SUPP,22%,33%,7%,1014,743,71,414,SUPP,242,SUPP,258,171,100,73%,7%,41%,SUPP,24%,SUPP,25%,17%,10%,803,686,45,452,124,327,1,189,86,31,85%,6%,56%,15%,41%,SP,24%,11%,4%,229,183,7,126,SUPP,89,SUPP,50,39,7,80%,3%,55%,SUPP,39%,SUPP,22%,17%,3%,574,503,38,326,SUPP,238,SUPP,139,47,24,88%,7%,57%,SUPP,41%,SUPP,24%,8%,4%,312,165,22,61,59,2,0,82,110,37,53%,7%,20%,19%,1%,0%,26%,35%,12%,115,58,10,20,SUPP,SUPP,0,28,50,7,50%,9%,17%,SUPP,SUPP,0%,24%,43%,6%,197,107,12,41,SUPP,SUPP,0,54,60,30,54%,6%,21%,SUPP,SUPP,0%,27%,30%,15%,402,193,32,63,59,3,1,98,143,66,48%,8%,16%,15%,1%,SP,24%,36%,16%,159,60,11,16,SUPP,SUPP,SUPP,33,79,20,38%,7%,10%,SUPP,SUPP,SUPP,21%,50%,13%,243,133,21,47,SUPP,SUPP,SUPP,65,64,46,55%,9%,19%,SUPP,SUPP,SUPP,27%,26%,19%
LA,314,,,,,,,2618,2038,123,1394,284,1103,7,521,401,179,78%,5%,53%,11%,42%,SP,20%,15%,7%,625,410,35,245,SUPP,170,SUPP,130,180,40,65%,6%,39%,SUPP,27%,SUPP,21%,29%,6%,1990,1630,90,1150,SUPP,930,SUPP,390,220,140,82%,4%,58%,SUPP,47%,SUPP,20%,11%,7%,1862,1657,60,1265,163,1096,6,332,140,65,89%,3%,68%,9%,59%,SP,18%,8%,4%,340,280,10,205,40,170,0,65,50,10,83%,3%,61%,11%,50%,0%,20%,14%,3%,1525,1375,50,1060,125,930,5,265,90,55,90%,3%,70%,8%,61%,SP,18%,6%,4%,325,175,25,63,61,2,0,87,111,39,54%,8%,19%,19%,1%,0%,27%,34%,12%,120,60,10,20,SUPP,SUPP,0,30,50,5,52%,9%,18%,SUPP,SUPP,0%,25%,42%,6%,205,115,15,40,SUPP,SUPP,0,60,60,30,55%,7%,20%,SUPP,SUPP,0%,28%,30%,16%,431,206,38,66,60,5,1,102,150,75,48%,9%,15%,14%,1%,SP,24%,35%,17%,170,65,15,20,15,SUPP,SUPP,35,80,20,39%,8%,11%,9%,SUPP,SUPP,20%,48%,13%,260,140,25,45,45,SUPP,SUPP,70,70,55,53%,9%,18%,17%,SUPP,SUPP,26%,26%,20%
1,315,4050,102673,Ricards Lodge High School,CY,1,0,89,78,1,68,3,65,0,9,7,4,88%,1%,76%,3%,73%,0%,10%,8%,4%,23,17,SUPP,13,0,13,0,SUPP,4,2,74%,SUPP,57%,0%,57%,0%,SUPP,17%,9%,66,61,SUPP,55,3,52,0,SUPP,3,2,92%,SUPP,83%,5%,79%,0%,SUPP,5%,3%,89,78,1,68,3,65,0,9,7,4,88%,1%,76%,3%,73%,0%,10%,8%,4%,23,17,SUPP,13,0,13,0,SUPP,4,2,74%,SUPP,57%,0%,57%,0%,SUPP,17%,9%,66,61,SUPP,55,3,52,0,SUPP,3,2,92%,SUPP,83%,5%,79%,0%,SUPP,5%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,315,4052,102674,Raynes Park High School,CY,0,0,43,32,2,24,0,24,0,6,4,7,74%,5%,56%,0%,56%,0%,14%,9%,16%,11,SUPP,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,32,SUPP,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,40,31,1,24,0,24,0,6,3,6,78%,3%,60%,0%,60%,0%,15%,8%,15%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,315,4500,102679,Rutlish School,VC,1,0,110,99,2,82,0,81,1,15,7,4,90%,2%,75%,0%,74%,1%,14%,6%,4%,17,SUPP,0,15,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0%,88%,0%,SUPP,SUPP,SUPP,0%,SUPP,93,SUPP,2,67,0,SUPP,SUPP,SUPP,7,SUPP,SUPP,2%,72%,0%,SUPP,SUPP,SUPP,8%,SUPP,107,97,2,82,0,81,1,13,7,3,91%,2%,77%,0%,76%,1%,12%,7%,3%,16,SUPP,0,15,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0%,94%,0%,SUPP,SUPP,SUPP,0%,SUPP,91,SUPP,2,67,0,SUPP,SUPP,SUPP,7,SUPP,SUPP,2%,74%,0%,SUPP,SUPP,SUPP,8%,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,315,4701,102681,Wimbledon College,VA,0,0,161,145,6,114,2,83,29,25,10,6,90%,4%,71%,1%,52%,18%,16%,6%,4%,24,22,SUPP,17,SUPP,SUPP,SUPP,SUPP,1,1,92%,SUPP,71%,SUPP,SUPP,SUPP,SUPP,4%,4%,137,123,SUPP,97,SUPP,SUPP,SUPP,SUPP,9,5,90%,SUPP,71%,SUPP,SUPP,SUPP,SUPP,7%,4%,155,143,4,114,2,83,29,25,9,3,92%,3%,74%,1%,54%,19%,16%,6%,2%,23,21,SUPP,17,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,91%,SUPP,74%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,132,122,SUPP,97,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,92%,SUPP,73%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3,315,4901,136509,RR6,,NA,0,199,177,3,150,3,146,1,24,14,8,89%,2%,75%,2%,73%,1%,12%,7%,4%,40,34,0,28,0,SUPP,SUPP,6,4,2,85%,0%,70%,0%,SUPP,SUPP,15%,10%,5%,159,143,3,122,3,SUPP,SUPP,18,10,6,90%,2%,77%,2%,SUPP,SUPP,11%,6%,4%,196,175,3,150,3,146,1,22,14,7,89%,2%,77%,2%,74%,1%,11%,7%,4%,39,SUPP,0,28,0,SUPP,SUPP,SUPP,4,SUPP,SUPP,0%,72%,0%,SUPP,SUPP,SUPP,10%,SUPP,157,SUPP,3,122,3,SUPP,SUPP,SUPP,10,SUPP,SUPP,2%,78%,2%,SUPP,SUPP,SUPP,6%,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,315,5400,102683,Ursuline High School Wimbledon,VA,0,0,170,159,4,135,4,106,25,20,8,3,94%,2%,79%,2%,62%,15%,12%,5%,2%,28,26,SUPP,23,SUPP,SUPP,9,SUPP,SUPP,SUPP,93%,SUPP,82%,SUPP,SUPP,32%,SUPP,SUPP,SUPP,142,133,SUPP,112,SUPP,SUPP,16,SUPP,SUPP,SUPP,94%,SUPP,79%,SUPP,SUPP,11%,SUPP,SUPP,SUPP,168,157,3,134,4,106,24,20,8,3,93%,2%,80%,2%,63%,14%,12%,5%,2%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,315,6905,131897,Harris Academy Merton,AC,1,0,102,94,1,79,1,78,0,14,6,2,92%,1%,77%,1%,76%,0%,14%,6%,2%,31,29,SUPP,26,SUPP,SUPP,0,SUPP,2,0,94%,SUPP,84%,SUPP,SUPP,0%,SUPP,6%,0%,71,65,SUPP,53,SUPP,SUPP,0,SUPP,4,2,92%,SUPP,75%,SUPP,SUPP,0%,SUPP,6%,3%,102,94,1,79,1,78,0,14,6,2,92%,1%,77%,1%,76%,0%,14%,6%,2%,31,29,SUPP,26,SUPP,SUPP,0,SUPP,2,0,94%,SUPP,84%,SUPP,SUPP,0%,SUPP,6%,0%,71,65,SUPP,53,SUPP,SUPP,0,SUPP,4,2,92%,SUPP,75%,SUPP,SUPP,0%,SUPP,6%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,315,6906,134003,St Mark's Church of England Academy,AC,0,0,38,28,0,23,2,20,1,5,5,5,74%,0%,61%,5%,53%,3%,13%,13%,13%,9,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,33%,SUPP,29,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,7%,SUPP,36,28,0,23,2,20,1,5,4,4,78%,0%,64%,6%,56%,3%,14%,11%,11%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
