"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","RWMEXP_WGTAVG","RWMEXP_DIS_WGTAVG","RWMEXP_NONDIS_WGTAVG","PSEN","SCHOOL-URNS"
"TR03336",15719,"Multi-academy trust","THE WARRINER MULTI ACADEMY TRUST","North West London and South Central",3,3,49,16.8,12.2,87.8,0,3,0,0,0,3,2,2.4,0.7,4.1,"0.2","-4.7","5.1",2.7,0.9,4.5,3,1.1,-0.5,2.7,"1.9","-2.6","6.5",1,-0.7,2.7,3,0.3,-1.2,1.8,"-1.6","-5.9","2.7",0.6,-1,2.2,2.4,0.6,4.1,"0.2","-4.8","5.2",2.7,0.8,4.6,1.1,-0.5,2.7,"1.9","-2.7","6.6",1,-0.7,2.7,0.3,-1.2,1.9,"-1.6","-6","2.8",0.6,-1.1,2.2,"80%","67%","81%",6.1,"142191, 142200, 142206"
"TR02468",5315,"Multi-academy trust","THE WHITE HORSE FEDERATION","South West",10,10,504,16.7,25.4,74.6,31.5,8,2,0,2,8,4,-0.6,-1.2,-0.1,"-1.1","-2.2","0",-0.5,-1.1,0.2,3,-0.4,-0.9,0.1,"-1.2","-2.2","-0.2",-0.2,-0.8,0.5,4,-0.7,-1.2,-0.2,"-1.6","-2.5","-0.6",-0.4,-1,0.2,-0.7,-1.2,-0.1,"-1.2","-2.3","-0.1",-0.5,-1.2,0.2,-0.4,-0.9,0.1,"-1.2","-2.2","-0.2",-0.2,-0.8,0.5,-0.7,-1.2,-0.2,"-1.6","-2.6","-0.6",-0.5,-1,0.1,"67%","59%","70%",22,"138305, 138306, 138308, 138309, 138424, 140264, 140685, 141273, 142728, 144500"
"TR02491",5348,"Multi-academy trust","THE WILLIAMSON TRUST","South East and South London",3,3,57,15.3,26.3,73.7,3.5,2,1,0,0,3,4,-1.8,-3.4,-0.2,"-1.4","-4.5","1.7",-1.9,-3.8,-0.1,3,-0.4,-1.9,1,"-1.7","-4.6","1.1",0,-1.7,1.8,3,-0.8,-2.2,0.6,"-2.4","-5.1","0.3",-0.2,-1.9,1.4,-1.8,-3.4,-0.2,"-1.4","-4.5","1.8",-1.9,-3.8,-0.1,-0.4,-1.9,1.1,"-1.8","-4.7","1.2",0,-1.7,1.8,-0.8,-2.2,0.6,"-2.4","-5.2","0.4",-0.2,-1.9,1.4,"49%","40%","52%",21.1,"137990, 139939, 141553"
"TR02526",5396,"Multi-academy trust","THE WOODLAND ACADEMY TRUST","South East and South London",3,3,199,16.9,51.8,48.2,30.2,2,1,0,0,3,4,-2.8,-3.7,-2,"-2.9","-4.1","-1.7",-2.8,-4.1,-1.5,2,1.5,0.7,2.3,"1.2","0.1","2.4",1.7,0.6,2.9,4,-1.8,-2.6,-1.1,"-2.6","-3.7","-1.5",-1,-2.1,0.1,-2.9,-3.8,-2,"-3","-4.3","-1.8",-2.9,-4.1,-1.6,1.5,0.7,2.3,"1.2","0.1","2.4",1.7,0.6,2.9,-1.8,-2.6,-1.1,"-2.6","-3.7","-1.5",-1,-2.1,0.1,"64%","55%","73%",23.1,"136932, 137380, 137417"
"TR02553",5426,"Multi-academy trust","THE WYTHENSHAWE CATHOLIC ACADEMY TRUST","Lancashire and West Yorkshire",3,3,145,15.8,49.7,50.3,29,3,0,0,0,3,3,0.8,-0.2,1.9,"0.3","-1.2","1.7",1.4,-0.1,2.8,3,0.3,-0.7,1.2,"-0.6","-1.9","0.7",1.2,-0.2,2.5,2,1.7,0.8,2.6,"0.4","-0.9","1.7",2.9,1.7,4.2,0.8,-0.2,1.9,"0.3","-1.2","1.7",1.4,-0.1,2.8,0.2,-0.8,1.1,"-0.8","-2.2","0.6",1.2,-0.2,2.5,1.7,0.8,2.6,"0.4","-0.9","1.7",2.9,1.7,4.2,"61%","56%","67%",23.4,"139458, 139467, 140758"
"TR03348",15968,"Multi-academy trust","THEDWASTRE EDUCATION TRUST","East of England and North East London",4,4,94,16.6,20.2,79.8,1.1,4,0,0,4,0,3,-0.5,-1.7,0.8,"-2.5","-5.3","0.4",0,-1.4,1.5,4,-2.1,-3.3,-0.9,"-3.1","-5.7","-0.6",-1.8,-3.1,-0.5,3,0.5,-0.6,1.6,"-1.7","-4.2","0.8",1,-0.2,2.3,-0.6,-1.9,0.7,"-2.7","-5.6","0.2",-0.1,-1.5,1.3,-2.2,-3.3,-1,"-3.1","-5.7","-0.5",-1.9,-3.2,-0.6,0.4,-0.8,1.5,"-2.1","-4.7","0.4",1,-0.3,2.3,"62%","26%","71%",17,"142547, 142554, 142562, 142566"
"TR01946",5456,"Multi-academy trust","TRANSFORM TRUST","East Midlands and Humber",8,8,376,15,63,37,24.5,4,4,0,2,6,2,0.8,0.2,1.5,"0.5","-0.3","1.3",1.5,0.4,2.6,2,1.6,1,2.1,"1.1","0.3","1.8",2.6,1.5,3.6,2,1.4,0.8,2,"1","0.3","1.7",2.3,1.3,3.2,0.8,0.1,1.4,"0.5","-0.3","1.3",1.5,0.4,2.6,1.5,0.9,2.2,"1.1","0.3","1.8",2.6,1.5,3.6,1.4,0.8,2,"1","0.3","1.7",2.3,1.3,3.3,"58%","50%","72%",18.6,"139217, 140017, 140715, 141324, 141396, 141397, 143015, 143060"
"TR02603",5119,"Multi-academy trust","TRURO & PENWITH ACADEMY TRUST","South West",12,12,282,15.9,27,73,2.8,10,2,0,8,4,3,0,-0.7,0.7,"-1.8","-3.2","-0.4",0.7,-0.2,1.6,3,0.6,-0.1,1.3,"0","-1.2","1.3",0.8,0,1.6,4,-0.7,-1.4,-0.1,"-2","-3.2","-0.8",-0.3,-1,0.5,0,-0.8,0.7,"-1.9","-3.3","-0.5",0.7,-0.2,1.6,0.6,-0.1,1.2,"0","-1.3","1.4",0.8,0,1.6,-0.8,-1.4,-0.1,"-2","-3.3","-0.8",-0.3,-1,0.5,"58%","41%","64%",18.8,"140670, 141198, 142304, 142305, 142444, 142549, 142553, 142789, 142807, 142952, 142957, 143016"
"TR02329",5122,"Multi-academy trust","TRUST IN LEARNING (ACADEMIES)","South West",3,3,216,15.8,54.6,45.4,21.3,2,1,0,1,2,4,-2.6,-3.5,-1.8,"-3.3","-4.4","-2.1",-1.9,-3.1,-0.6,3,-0.4,-1.2,0.3,"-1.3","-2.4","-0.3",0.7,-0.5,1.8,4,-2.6,-3.4,-1.9,"-3.4","-4.4","-2.4",-1.7,-2.8,-0.6,-2.7,-3.6,-1.9,"-3.4","-4.6","-2.3",-1.9,-3.1,-0.6,-0.5,-1.3,0.3,"-1.3","-2.4","-0.3",0.6,-0.6,1.8,-2.7,-3.5,-2,"-3.6","-4.6","-2.6",-1.7,-2.8,-0.5,"53%","47%","59%",24.5,"138668, 138904, 139049"
"TR02331",5125,"Multi-academy trust","TUDHOE LEARNING TRUST","North",7,7,261,15.4,55.2,44.8,2.7,1,6,0,0,7,4,-1.8,-2.5,-1,"-2","-3","-0.9",-1.6,-2.7,-0.5,2,1.2,0.5,1.9,"1.2","0.3","2.1",1.2,0.2,2.3,4,-1,-1.7,-0.4,"-1.1","-2","-0.2",-1,-2,0,-1.8,-2.6,-1,"-2","-3","-0.9",-1.6,-2.8,-0.5,1.2,0.5,1.9,"1.2","0.3","2.2",1.2,0.2,2.3,-1,-1.7,-0.4,"-1.1","-2","-0.2",-1,-2,0,"51%","40%","63%",26.1,"138554, 138555, 138556, 138557, 141997, 141998, 141999"
"TR02332",5128,"Multi-academy trust","TUDOR GRANGE ACADEMIES TRUST","West Midlands",3,3,109,16.6,37.6,62.4,10.1,1,2,0,1,2,3,-1.2,-2.4,0,"-2.6","-4.5","-0.7",-0.4,-2,1.1,5,-2.7,-3.8,-1.6,"-3.7","-5.4","-1.9",-2.2,-3.6,-0.8,4,-2.2,-3.2,-1.1,"-4","-5.6","-2.3",-1.2,-2.5,0.1,-1.2,-2.4,0,"-2.6","-4.5","-0.6",-0.4,-2,1.1,-2.7,-3.8,-1.6,"-3.7","-5.5","-1.9",-2.2,-3.6,-0.8,-2.2,-3.2,-1.1,"-4","-5.7","-2.3",-1.2,-2.6,0.1,"60%","49%","65%",11,"139007, 140530, 144479"
"TR02343",5143,"Multi-academy trust","UNITED LEARNING TRUST","National Sponsor Unit",16,16,842,15.5,48,52,36.2,3,13,0,1,15,3,-0.1,-0.5,0.3,"-0.2","-0.8","0.4",-0.1,-0.7,0.5,4,-0.5,-0.9,-0.1,"-0.8","-1.4","-0.2",-0.2,-0.8,0.3,3,0.2,-0.1,0.6,"-0.2","-0.7","0.4",0.6,0,1.1,-0.2,-0.6,0.3,"-0.2","-0.8","0.4",-0.1,-0.7,0.5,-0.5,-0.9,-0.1,"-0.9","-1.5","-0.3",-0.2,-0.8,0.3,0.2,-0.2,0.6,"-0.2","-0.7","0.4",0.5,0,1.1,"60%","54%","65%",20.2,"135296, 135364, 135966, 137910, 138413, 139065, 139404, 139585, 139712, 139742, 139768, 139824, 140400, 140661, 141404, 141685"
"TR01862",4454,"Multi-academy trust","UNITY SCHOOLS PARTNERSHIP","East of England and North East London",5,5,183,16.3,29.5,70.5,10.9,2,3,0,2,3,4,-1.3,-2.2,-0.4,"-1.1","-2.8","0.6",-1.3,-2.4,-0.2,4,-1.5,-2.4,-0.7,"-2.2","-3.8","-0.7",-1.2,-2.2,-0.1,3,-0.1,-0.9,0.7,"-0.3","-1.7","1.2",0,-0.9,1,-1.3,-2.2,-0.4,"-1.1","-2.8","0.6",-1.3,-2.4,-0.2,-1.6,-2.4,-0.7,"-2.2","-3.8","-0.7",-1.2,-2.3,-0.2,-0.1,-0.9,0.7,"-0.4","-1.9","1.1",0,-1,1,"64%","46%","71%",15.8,"140044, 141371, 141406, 142993, 142995"
"TR00985",3339,"Multi-academy trust","UNIVERSITY OF BRIGHTON ACADEMIES TRUST","South East and South London",9,9,502,16.2,34.3,65.7,2.8,7,2,0,0,9,3,0.1,-0.5,0.7,"-1.1","-2","-0.2",0.7,0,1.4,3,-0.3,-0.8,0.2,"-1.1","-2","-0.2",0.2,-0.5,0.8,4,-0.6,-1.1,-0.1,"-2.3","-3.1","-1.5",0.3,-0.3,0.9,0.1,-0.5,0.6,"-1.1","-2.1","-0.2",0.7,0,1.4,-0.3,-0.8,0.2,"-1.1","-2","-0.2",0.2,-0.5,0.8,-0.6,-1.1,-0.1,"-2.3","-3.1","-1.5",0.3,-0.3,0.9,"65%","51%","73%",20.5,"140179, 140493, 141261, 141262, 141263, 141713, 141892, 141906, 142291"
"TR02347",5152,"Multi-academy trust","UNIVERSITY OF CHESTER ACADEMIES TRUST","West Midlands",3,3,62,15.9,35.5,64.5,4.8,0,2,1,0,3,4,-1.9,-3.5,-0.4,"-1.9","-4.5","0.8",-2,-3.9,0,4,-1.7,-3.2,-0.3,"-1.1","-3.4","1.3",-2.1,-3.9,-0.3,5,-3.6,-5,-2.2,"-5.5","-7.7","-3.2",-2.5,-4.2,-0.8,-2,-3.6,-0.4,"-1.9","-4.6","0.8",-2,-4,0,-1.8,-3.2,-0.3,"-1.2","-3.6","1.3",-2.1,-3.9,-0.2,-3.8,-5.2,-2.4,"-5.8","-8.1","-3.6",-2.6,-4.4,-0.9,"45%","27%","55%",14.5,"139832, 139949, 140410"
"TR02348",5153,"Multi-academy trust","UNIVERSITY OF CHICHESTER (MULTI) ACADEMY TRUST","South East and South London",6,6,310,16.7,27.4,72.6,10.6,3,3,0,1,5,4,-1.1,-1.8,-0.4,"-1.2","-2.5","0.1",-1,-1.9,-0.2,3,-0.4,-1.1,0.2,"-0.8","-2","0.5",-0.3,-1.1,0.5,4,-1.7,-2.3,-1.1,"-2","-3.2","-0.9",-1.6,-2.3,-0.9,-1.1,-1.8,-0.4,"-1.3","-2.6","0.1",-1.1,-1.9,-0.2,-0.5,-1.1,0.2,"-0.8","-2","0.4",-0.3,-1.1,0.5,-1.8,-2.4,-1.2,"-2.1","-3.3","-1",-1.7,-2.4,-0.9,"61%","54%","64%",23.5,"139944, 140211, 140719, 141181, 141266, 143316"
"TR00725",3012,"Multi-academy trust","UNIVERSITY OF WOLVERHAMPTON MULTI ACADEMY TRUST","West Midlands",10,10,443,16.2,55.3,44.7,18.1,7,3,0,0,10,3,0.2,-0.4,0.8,"0.4","-0.4","1.2",-0.1,-0.9,0.8,3,0.3,-0.2,0.8,"-0.3","-1","0.4",1,0.2,1.8,3,0.4,-0.1,0.9,"0.3","-0.4","0.9",0.5,-0.2,1.3,0.2,-0.4,0.8,"0.4","-0.4","1.2",-0.1,-1,0.8,0.2,-0.4,0.7,"-0.5","-1.2","0.2",1,0.2,1.8,0.4,-0.2,0.9,"0.2","-0.5","0.9",0.5,-0.3,1.3,"67%","62%","72%",17.2,"139002, 139011, 139484, 139610, 139637, 139860, 140889, 140890, 141278, 141493"
"TR02361",5176,"Multi-academy trust","VALE ACADEMY TRUST","North West London and South Central",5,5,199,16.9,20.1,79.9,4.5,4,1,0,1,4,4,-2.5,-3.4,-1.6,"-4.6","-6.5","-2.6",-2,-2.9,-1,4,-1.3,-2.1,-0.5,"-2.3","-4.1","-0.5",-1.1,-2,-0.2,5,-3.8,-4.6,-3,"-5.1","-6.8","-3.4",-3.5,-4.3,-2.6,-2.6,-3.5,-1.7,"-4.8","-6.8","-2.8",-2,-3,-1.1,-1.3,-2.1,-0.5,"-2.3","-4.1","-0.4",-1.1,-2,-0.1,-3.9,-4.6,-3.1,"-5.1","-6.8","-3.3",-3.5,-4.4,-2.7,"58%","35%","64%",19.6,"140237, 140255, 141364, 141459, 142664"
"TR02362",5178,"Multi-academy trust","VALLEY INVICTA ACADEMIES TRUST","South East and South London",4,4,93,17.4,21.5,78.5,14,0,4,0,0,4,3,0.1,-1.2,1.5,"0.2","-2.8","3.1",0.1,-1.3,1.6,1,2.7,1.5,3.9,"1.8","-0.9","4.5",2.9,1.6,4.3,2,1.9,0.8,3.1,"0.5","-2","3.1",2.3,1,3.6,0.1,-1.2,1.5,"0.2","-2.8","3.2",0.1,-1.4,1.6,2.7,1.5,3.9,"1.8","-0.9","4.6",2.9,1.6,4.3,1.9,0.7,3.1,"0.5","-2.1","3.2",2.3,0.9,3.6,"85%","75%","88%",11.8,"140168, 140430, 140431, 140432"
"TR01677",4243,"Multi-academy trust","VENTRUS LIMITED","South West",11,10,306,16.4,23.9,76.1,7.8,9,2,0,1,10,3,-0.2,-0.9,0.5,"-0.4","-1.9","1",-0.2,-1,0.7,4,-1.4,-2,-0.7,"-2.1","-3.4","-0.8",-1.1,-1.9,-0.4,4,-1.2,-1.8,-0.6,"-2","-3.3","-0.8",-1,-1.7,-0.2,-0.2,-0.9,0.5,"-0.4","-1.9","1",-0.2,-1,0.7,-1.4,-2,-0.7,"-2.1","-3.4","-0.7",-1.1,-1.9,-0.4,-1.2,-1.9,-0.6,"-2.1","-3.4","-0.8",-1,-1.7,-0.2,"60%","46%","64%",27.5,"137644, 137647, 137649, 137651, 137654, 137659, 137776, 139019, 140078, 142183, 142559"
"TR00546",2748,"Multi-academy trust","VENTURERS TRUST","South West",5,5,156,15.4,53.8,46.2,55.1,0,5,0,1,4,3,-0.9,-1.9,0.2,"-1.7","-3.1","-0.4",0.3,-1.3,1.8,3,-0.2,-1.1,0.7,"-0.1","-1.4","1.1",-0.3,-1.7,1.1,3,-0.1,-1,0.7,"-0.8","-2","0.3",0.8,-0.6,2.1,-0.9,-1.9,0.1,"-1.9","-3.2","-0.5",0.3,-1.3,1.8,-0.3,-1.3,0.6,"-0.3","-1.6","0.9",-0.3,-1.8,1.1,-0.2,-1.1,0.7,"-0.9","-2.1","0.3",0.8,-0.6,2.2,"53%","50%","56%",15.4,"135597, 138377, 139050, 139247, 141191"
"TR02367",5183,"Multi-academy trust","VICTORIA ACADEMIES TRUST","West Midlands",4,4,233,15.7,50.6,49.4,50.6,3,1,0,0,4,2,1,0.2,1.9,"0.9","-0.3","2",1.3,0.1,2.5,2,1.6,0.9,2.4,"1.3","0.3","2.4",2,0.9,3.1,2,1.4,0.6,2.1,"0.6","-0.4","1.6",2.2,1.1,3.2,1,0.2,1.9,"0.9","-0.3","2.1",1.3,0.1,2.5,1.6,0.8,2.4,"1.3","0.2","2.4",1.9,0.8,3,1.3,0.6,2.1,"0.6","-0.5","1.6",2.2,1.1,3.2,"66%","66%","66%",15,"138033, 140996, 141292, 142203"
"TR03110",5531,"Multi-academy trust","VIKING ACADEMY TRUST","South East and South London",3,3,215,17.5,24.2,75.8,3.3,2,0,1,1,2,3,-0.1,-1,0.7,"-0.8","-2.5","0.9",0.1,-0.9,1,3,0.5,-0.3,1.3,"-0.1","-1.7","1.5",0.7,-0.2,1.6,3,0.4,-0.4,1.1,"-0.5","-2","1",0.7,-0.2,1.5,-0.1,-1,0.7,"-0.8","-2.6","0.9",0.1,-0.9,1.1,0.5,-0.3,1.3,"-0.1","-1.7","1.5",0.7,-0.2,1.6,0.4,-0.4,1.1,"-0.5","-2","1",0.7,-0.2,1.5,"78%","64%","83%",9.3,"141766, 142117, 143220"
"TR03531",16170,"Multi-academy trust","WARRINGTON PRIMARY ACADEMY TRUST","Lancashire and West Yorkshire",3,3,86,16.7,22.1,77.9,10.5,3,0,0,3,0,2,2.7,1.4,4,"3.4","0.6","6.2",2.5,1,4,1,3.5,2.3,4.7,"3.8","1.2","6.4",3.4,2.1,4.8,1,4.5,3.3,5.6,"5","2.6","7.5",4.3,3,5.6,2.7,1.4,4.1,"3.4","0.6","6.2",2.5,1,4,3.5,2.3,4.8,"3.8","1.2","6.4",3.4,2,4.9,4.5,3.3,5.6,"5","2.6","7.5",4.3,3,5.6,"90%","79%","93%",9.3,"143058, 143064, 143072"
"TR02863",5228,"Multi-academy trust","WATERTON ACADEMY TRUST","Lancashire and West Yorkshire",5,5,269,16.5,33.5,66.5,7.4,4,1,0,2,3,4,-2.3,-3.1,-1.6,"-3.5","-4.8","-2.2",-1.8,-2.7,-0.9,3,-0.4,-1.1,0.3,"-1.1","-2.3","0.1",-0.1,-0.9,0.8,4,-2.1,-2.7,-1.4,"-4","-5.2","-2.9",-1.1,-1.9,-0.3,-2.4,-3.1,-1.6,"-3.5","-4.8","-2.2",-1.8,-2.7,-0.9,-0.4,-1.1,0.3,"-1.1","-2.3","0.1",-0.1,-0.9,0.8,-2.1,-2.8,-1.5,"-4.1","-5.2","-3",-1.2,-2,-0.4,"61%","46%","68%",17.5,"141282, 141799, 141878, 143003, 143381"
"TR02405",5600,"Multi-academy trust","WAYCROFT MULTI ACADEMY TRUST","South West",3,3,146,16.5,33.6,66.4,13,1,2,0,1,2,3,-0.5,-1.5,0.5,"-1.5","-3.2","0.2",0,-1.2,1.2,3,1,0,1.9,"0.6","-1","2.2",1.1,0,2.2,3,-0.8,-1.7,0.1,"-1.4","-2.9","0.1",-0.5,-1.6,0.6,-0.5,-1.5,0.5,"-1.5","-3.3","0.2",0,-1.3,1.2,1,0,1.9,"0.6","-1","2.2",1.1,-0.1,2.3,-0.8,-1.7,0.1,"-1.4","-2.9","0.2",-0.5,-1.6,0.6,"70%","48%","81%",11.6,"137212, 141351, 142032"
"TR02420",5252,"Multi-academy trust","WELLSPRING ACADEMY TRUST","East Midlands and Humber",5,5,210,14.3,53.8,46.2,24.3,3,2,0,4,1,3,-0.2,-1.1,0.6,"-0.9","-2","0.3",0.4,-0.9,1.7,2,1.8,1,2.6,"1","-0.1","2.1",2.7,1.5,3.9,3,0.1,-0.6,0.9,"-0.5","-1.5","0.5",0.9,-0.3,2,-0.3,-1.1,0.6,"-0.9","-2.1","0.3",0.4,-0.9,1.7,1.8,0.9,2.6,"1","-0.1","2.1",2.7,1.5,3.9,0.1,-0.6,0.9,"-0.5","-1.5","0.5",0.9,-0.3,2,"46%","40%","52%",23.8,"139136, 142450, 142629, 142969, 144484"
"TR02565",5275,"Multi-academy trust","WEST NORFOLK ACADEMIES TRUST","East of England and North East London",5,5,130,16.2,26.2,73.8,5.4,3,2,0,2,3,4,-1.9,-3,-0.8,"-2.5","-4.6","-0.4",-1.7,-3,-0.4,3,0.3,-0.7,1.3,"-0.1","-2","1.9",0.4,-0.8,1.6,4,-2,-2.9,-1,"-3","-4.9","-1.2",-1.5,-2.7,-0.4,-1.9,-3,-0.8,"-2.5","-4.6","-0.3",-1.7,-3,-0.4,0.3,-0.7,1.3,"-0.1","-2.1","1.9",0.4,-0.8,1.6,-2,-2.9,-1,"-3","-4.9","-1.2",-1.5,-2.7,-0.4,"54%","48%","56%",23.1,"140852, 141168, 141465, 142751, 142842"
"TR01159",3547,"Multi-academy trust","WESTCOUNTRY SCHOOLS TRUST","South West",3,3,127,17.2,16.5,83.5,0.8,3,0,0,2,1,3,0.2,-0.9,1.3,"-1.3","-3.9","1.4",0.5,-0.7,1.7,2,1.7,0.7,2.7,"1.1","-1.3","3.5",1.8,0.7,2.9,3,0.3,-0.6,1.3,"-1.1","-3.4","1.2",0.6,-0.4,1.7,0.2,-0.9,1.3,"-1.3","-3.9","1.4",0.5,-0.7,1.7,1.7,0.7,2.7,"1.1","-1.4","3.6",1.8,0.7,2.9,0.3,-0.7,1.3,"-1.1","-3.5","1.2",0.6,-0.5,1.7,"77%","61%","80%",11,"136635, 137963, 143412"
"TR02470",5318,"Multi-academy trust","WHITE WOODS PRIMARY ACADEMY TRUST","East Midlands and Humber",6,6,231,16.6,36.4,63.6,9.1,5,1,0,2,4,3,-0.2,-1,0.6,"-1.4","-2.8","-0.1",0.4,-0.6,1.4,3,0.5,-0.3,1.2,"-0.9","-2.1","0.3",1.2,0.3,2.1,2,1,0.3,1.7,"-0.4","-1.6","0.8",1.8,0.9,2.7,-0.3,-1.1,0.5,"-1.5","-2.9","-0.2",0.4,-0.6,1.4,0.5,-0.3,1.2,"-0.9","-2.2","0.4",1.2,0.3,2.2,1,0.3,1.7,"-0.5","-1.7","0.7",1.8,0.9,2.7,"72%","60%","79%",19.5,"140109, 140115, 140116, 141337, 141771, 143321"
"TR02478",5329,"Multi-academy trust","WICKERSLEY PARTNERSHIP TRUST","East Midlands and Humber",5,5,181,16.1,33.7,66.3,5,4,1,0,5,0,4,-1.9,-2.8,-1,"-2.3","-3.9","-0.8",-1.7,-2.8,-0.6,5,-2.9,-3.7,-2.1,"-2.8","-4.3","-1.4",-2.9,-4,-1.9,4,-1.3,-2.1,-0.5,"-2.1","-3.4","-0.7",-1,-1.9,0,-1.9,-2.8,-1,"-2.3","-3.9","-0.8",-1.7,-2.8,-0.6,-3,-3.8,-2.1,"-2.8","-4.3","-1.3",-3.1,-4.1,-2,-1.3,-2.1,-0.5,"-2.1","-3.5","-0.7",-1,-2,0,"56%","36%","66%",21,"140799, 140993, 143054, 143055, 143057"
"TR03021",5351,"Multi-academy trust","WILLOWS ACADEMY TRUST","East Midlands and Humber",3,3,149,17.3,20.8,79.2,2,3,0,0,0,3,3,-0.8,-1.8,0.2,"0.2","-2","2.3",-1,-2.2,0.1,3,0.3,-0.6,1.2,"0.1","-1.9","2.1",0.3,-0.7,1.4,4,-1.4,-2.2,-0.5,"-2.7","-4.6","-0.8",-1,-2,-0.1,-0.8,-1.8,0.2,"0.2","-2","2.4",-1.1,-2.2,0.1,0.3,-0.6,1.2,"0.1","-1.9","2.1",0.3,-0.7,1.4,-1.5,-2.3,-0.6,"-2.7","-4.6","-0.7",-1.1,-2.1,-0.1,"69%","61%","71%",14.8,"141540, 141543, 141544"
"TR02503",5361,"Multi-academy trust","WINDSOR ACADEMY TRUST","West Midlands",4,4,143,15.8,47.6,52.4,7.7,2,2,0,2,2,5,-3,-4,-2,"-3.9","-5.3","-2.4",-2.2,-3.6,-0.8,3,0,-0.9,0.9,"-0.3","-1.6","1.1",0.3,-1,1.5,5,-3.4,-4.3,-2.6,"-5.2","-6.5","-4",-1.6,-2.8,-0.4,-3.2,-4.2,-2.1,"-4.1","-5.6","-2.6",-2.3,-3.7,-0.9,-0.1,-1,0.9,"-0.3","-1.7","1.1",0.2,-1.2,1.5,-3.6,-4.5,-2.7,"-5.6","-6.9","-4.3",-1.6,-2.9,-0.4,"47%","39%","57%",19.6,"138591, 140196, 142355, 143195"
"TR02510",5370,"Multi-academy trust","WISE ACADEMIES","North",4,4,184,15.8,64.1,35.9,7.1,2,2,0,0,4,5,-3.4,-4.3,-2.5,"-3.4","-4.5","-2.3",-3.5,-5,-2,3,0.3,-0.5,1.2,"0.2","-0.8","1.2",0.4,-1,1.8,4,-2.9,-3.7,-2.1,"-2.8","-3.8","-1.9",-3.2,-4.6,-1.9,-3.5,-4.4,-2.6,"-3.6","-4.7","-2.4",-3.5,-5.1,-2,0.3,-0.5,1.2,"0.2","-0.9","1.2",0.4,-1.1,1.8,-3.1,-3.9,-2.3,"-3","-4","-2",-3.3,-4.6,-1.9,"46%","41%","55%",19.6,"136486, 136487, 138577, 138976"
