RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,926,8000,130763,The College of West Anglia,General Further Education College,0,0,,4,-15,667,28%,1%,26%,4%,1%,0%,1%,306,34%,-19,4,289,26%,-13,4,72,15%,-6,3,22%,SUPP,SUPP,3%,SUPP,0%,SUPP
1,926,8001,138670,Easton & Otley College,Agriculture and Horticulture College,0,0,,4,-16,393,25%,0%,21%,9%,2%,0%,4%,109,31%,-18,4,248,23%,-18,5,36,25%,2,3,17%,0%,SUPP,SUPP,0%,0%,SUPP
1,926,8003,130764,Norwich City College of Further and Higher Education,General Further Education College,0,0,,4,-14,866,30%,1%,26%,5%,1%,SP,3%,467,41%,-15,4,232,13%,-23,5,167,26%,1,3,20%,SUPP,16%,2%,0%,SUPP,SUPP
1,926,8600,145749,East Norfolk Sixth Form College,ACC1619,0,0,,4,-6,800,53%,1%,50%,15%,5%,SP,2%,725,56%,-6,4,52,31%,-7,3,23,17%,-6,3,45%,SUPP,40%,9%,3%,0%,SUPP
LA,926,,,,,,,,NA,-9,,50%,1%,47%,18%,9%,1%,2%,4375,58%,-8,NA,1003,23%,-15,NA,319,22%,-2,NA,52%,1%,49%,20%,10%,1%,2%
1,308,6907,136147,Aylward Academy,AC,0,0,,1,22,123,74%,1%,71%,4%,2%,0%,2%,121,74%,22,1,2,SUPP,SUPP,SUPP,0,NA,NA,NA,82%,SUPP,78%,SUPP,SUPP,0%,SUPP
1,308,6908,136157,Nightingale Academy,AC,0,1,,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,0,SUPP,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,308,8300,130438,Capel Manor College,Agriculture and Horticulture College,0,0,,4,-12,86,27%,0%,19%,1%,0%,0%,8%,0,NA,NA,NA,83,28%,-12,4,3,SUPP,SUPP,SUPP,13%,0%,SUPP,SUPP,0%,0%,SUPP
1,308,4007,143197,Edmonton County School,ACC,0,0,,1,20,115,80%,0%,79%,12%,10%,1%,1%,109,81%,20,1,6,67%,28,3,0,NA,NA,NA,77%,0%,SUPP,15%,10%,SUPP,SUPP
1,308,4015,136327,Kingsmead School,ACC,0,0,,2,12,111,76%,0%,76%,22%,15%,0%,0%,111,76%,12,2,0,NA,NA,NA,0,NA,NA,NA,86%,0%,86%,26%,12%,0%,0%
1,308,4026,102045,Winchmore School,CY,0,0,,2,16,167,77%,1%,75%,19%,14%,0%,2%,148,79%,15,2,19,63%,26,2,0,NA,NA,NA,79%,SUPP,74%,14%,9%,0%,SUPP
1,308,4029,142727,Southgate School,ACC,0,0,,2,17,144,92%,0%,90%,38%,26%,0%,1%,144,92%,17,2,0,NA,NA,NA,0,NA,NA,NA,100%,0%,SUPP,60%,50%,0%,SUPP
1,308,4030,102048,Enfield County School for Girls,CY,0,0,,1,19,98,89%,0%,88%,20%,14%,1%,1%,98,89%,19,1,0,NA,NA,NA,0,NA,NA,NA,86%,0%,SUPP,18%,14%,SUPP,SUPP
1,308,4037,102049,Chace Community School,CY,0,0,,3,-1,108,65%,2%,63%,22%,10%,0%,0%,108,65%,-1,3,0,NA,NA,NA,0,NA,NA,NA,74%,SUPP,SUPP,23%,16%,0%,0%
1,308,4038,144084,The Lea Valley Academy,ACC,0,0,,1,25,105,82%,0%,82%,15%,8%,0%,0%,92,82%,22,1,13,85%,47,1,0,NA,NA,NA,79%,0%,79%,15%,8%,0%,0%
1,308,4043,132256,Highlands School,CY,0,0,,3,8,133,77%,2%,74%,32%,14%,1%,1%,121,79%,7,3,12,58%,18,3,0,NA,NA,NA,64%,SUPP,55%,SUPP,SUPP,SUPP,SUPP
1,308,4702,102052,Bishop Stopford's School,VA,0,0,,1,24,33,85%,0%,85%,27%,18%,0%,0%,33,85%,24,1,0,NA,NA,NA,0,NA,NA,NA,50%,0%,50%,SUPP,SUPP,0%,0%
