RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
2,203,6040,136092,Wize Up,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4250,141163,Woolwich Polytechnic School,0,ACC,238,47,210,3,-0.03,-0.2,0.15,-0.03,-0.21,0.14,67.2%,51.7%,4.21,48.3%,29.0%,19.3%,60.9%,3
4,203,,,,,,2364,45.1,2175,32,-0.18,-0.23,-0.12,-0.19,-0.24,-0.13,62.0%,41.3%,4.02,51.5%,25.5%,16.0%,56.4%,4
1,204,6399,102171,Beis Chinuch Lebonos Girls School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6337,100295,Beis Malka Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6296,100293,Beis Rochel d'Satmar Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6400,131342,Beis Trana Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6242,100291,Bnois Jerusalem Girls School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6907,131609,The Bridge Academy,0,AC,167,48.1,159,0,0.42,0.22,0.61,0.42,0.21,0.62,58.7%,38.3%,4.11,29.3%,20.4%,13.8%,58.1%,2
1,204,4714,100285,Cardinal Pole Catholic School,0,VA,167,48.6,162,1,0.37,0.18,0.57,0.37,0.17,0.57,68.9%,40.7%,4.32,41.9%,19.2%,12.6%,65.9%,2
1,204,6908,135835,"The City Academy, Hackney",0,AC,172,47.4,163,0,0.06,-0.13,0.26,0.06,-0.14,0.26,64.5%,36.0%,4.4,97.1%,34.3%,18.0%,61.0%,3
1,204,4005,143756,"City of London Academy, Shoreditch Park",0,F
1,204,4302,137442,Clapton Girls' Academy,0,ACC,174,58.6,169,2,0.73,0.53,0.92,0.71,0.51,0.9,83.3%,70.1%,5.05,39.7%,35.1%,29.3%,82.8%,1
2,204,7161,100311,The Garden School,0,CYS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,204,6011,141737,Hackney City Farm,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4002,139595,Hackney New School,0,F,88,41.6,63,1,-0.18,-0.5,0.13,-0.19,-0.52,0.13,56.8%,35.2%,3.94,84.1%,31.8%,15.9%,50.0%,3
1,204,4283,100277,Haggerston School,0,CY,167,42.8,137,6,-0.16,-0.38,0.05,-0.21,-0.43,0.01,58.1%,37.1%,3.67,32.9%,20.4%,13.2%,52.7%,3
2,204,7171,100312,Ickburgh School,0,CYS,6,NE,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE
2,204,6009,141029,Inspired Directions School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,204,6003,137808,Leaways School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4000,145609,Lubavitch House School (Senior Girls),0,ACC,25,49.1,24,0,0.42,-0.09,0.94,0.42,-0.1,0.95,76.0%,56.0%,4.96,84.0%,52.0%,32.0%,68.0%,3
1,204,6905,134693,Mossbourne Community Academy,0,AC,198,60.4,194,0,1.15,0.97,1.34,1.15,0.97,1.34,85.9%,68.2%,5.95,96.0%,75.3%,60.1%,84.3%,1
1,204,4003,140210,Mossbourne Victoria Park Academy,0,AC,118,58.3,112,0,0.94,0.7,1.17,0.94,0.69,1.18,82.2%,63.6%,5.77,93.2%,71.2%,57.6%,78.8%,1
1,204,4641,100282,Our Lady's Catholic High School,0,VA,121,47.1,116,0,0.28,0.05,0.51,0.28,0.04,0.52,71.9%,39.7%,4.44,68.6%,42.1%,22.3%,62.8%,2
1,204,6906,131062,The Petchey Academy,0,AC,173,44.5,172,6,-0.31,-0.5,-0.12,-0.35,-0.55,-0.16,61.8%,37.6%,4.07,83.2%,30.6%,17.3%,54.9%,4
2,204,6409,133439,Side By Side School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6909,136137,Skinners' Academy,0,AC,170,46.5,168,0,0.15,-0.04,0.35,0.15,-0.04,0.35,72.4%,47.6%,4.09,40.6%,27.6%,14.7%,62.9%,3
1,204,4310,100279,Stoke Newington School and Sixth Form,0,CY,254,53.2,248,0,0.19,0.03,0.35,0.19,0.03,0.35,76.4%,56.3%,4.75,52.8%,38.2%,30.3%,72.8%,2
2,204,7097,100307,Stormont House School,0,CYS,22,1.3,21,0,-1.69,-2.24,-1.14,-1.69,-2.25,-1.13,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,5
1,204,6331,100294,Talmud Torah Machzikei Hadass School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6407,132736,"Tawhid Boys School, Tawhid Educational Trust",0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,6388,100300,Tayyibah Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4697,100284,The Urswick School - A Church of England Secondary School,0,VA,127,42.7,124,0,-0.1,-0.33,0.12,-0.1,-0.33,0.13,51.2%,32.3%,3.73,73.2%,35.4%,16.5%,50.4%,3
1,204,6072,100287,Yesodey Hatorah School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,204,4318,133599,Yesodey Hatorah Senior Girls School,0,VA,68,55.6,56,0,1.08,0.74,1.41,1.08,0.73,1.42,92.6%,64.7%,4.18,14.7%,14.7%,14.7%,86.8%,1
4,204,,,,,,2230,49.1,2104,16,0.29,0.23,0.34,0.28,0.22,0.34,69.1%,47.4%,4.44,60.0%,35.8%,24.6%,65.1%,2
1,205,6905,131752,Ark Burlington Danes Academy,0,AC,162,45.5,156,6,-0.18,-0.38,0.02,-0.22,-0.42,-0.01,58.6%,34.6%,4.12,77.2%,33.3%,22.2%,56.8%,3
2,205,7204,100382,Cambridge School,0,CYS,16,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,205,6404,134735,Chelsea Independent College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4001,141135,The Fulham Boys School,0,F,80,49,73,0,-0.24,-0.53,0.05,-0.24,-0.54,0.06,57.5%,37.5%,4.34,78.8%,28.8%,16.3%,57.5%,3
1,205,4106,139364,Fulham College Boys' School,0,ACC,61,37.2,49,4,-0.93,-1.29,-0.57,-0.97,-1.33,-0.6,49.2%,23.0%,3.22,27.9%,18.0%,9.8%,41.0%,5
1,205,4315,139365,Fulham Cross Girls' School and Language College,0,ACC,119,53.6,110,1,0.52,0.28,0.76,0.51,0.27,0.76,71.4%,47.1%,4.57,35.3%,27.7%,20.2%,68.9%,1
1,205,6390,131165,Fulham Prep School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,6291,100369,The Godolphin and Latymer School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,6906,136172,Hammersmith Academy,0,AC,120,51.4,116,0,0.09,-0.14,0.33,0.09,-0.15,0.33,76.7%,54.2%,4.71,88.3%,39.2%,19.2%,70.0%,3
1,205,4002,141617,The Hurlingham Academy,0,AC,72,55.3,47,0,0.53,0.16,0.9,0.53,0.16,0.91,75.0%,55.6%,4.95,75.0%,51.4%,33.3%,73.6%,1
2,205,7203,100381,Jack Tizard School,0,CYS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,205,4632,138607,Lady Margaret School,0,ACC,117,64.5,109,0,0.8,0.56,1.04,0.8,0.55,1.04,90.6%,73.5%,6.17,91.5%,70.9%,49.6%,89.7%,1
1,205,6306,100370,Latymer Upper School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,5400,137157,The London Oratory School,0,ACC,176,64.8,170,0,0.53,0.34,0.73,0.53,0.34,0.73,94.3%,79.0%,6.19,88.1%,71.0%,54.0%,93.2%,1
2,205,6395,131675,The Moat School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,205,7206,135175,Parayhouse School,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4004,143129,Phoenix Academy,0,AC,82,44.6,69,0,-0.07,-0.37,0.23,-0.07,-0.38,0.24,62.2%,32.9%,4.08,51.2%,20.7%,9.8%,59.8%,3
2,205,7014,100378,Queensmill School,0,CYS,10,3.8,8,0,-1.52,-2.4,-0.63,-1.52,-2.42,-0.61,0.0%,0.0%,0.25,0.0%,0.0%,0.0%,0.0%,5
1,205,4620,137935,Sacred Heart High School,0,ACC,161,64.9,156,1,1,0.8,1.2,0.99,0.79,1.2,88.8%,80.7%,6.2,90.1%,73.9%,63.4%,88.2%,1
1,205,6399,100527,St James Senior Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,6011,100366,St Paul's Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,4000,136750,West London Free School,0,F,128,61.2,109,2,0.56,0.32,0.8,0.51,0.27,0.76,82.8%,71.1%,5.85,83.6%,68.8%,51.6%,80.5%,1
2,205,7153,100379,Woodlane High School,0,CYS,19,8.5,16,0,-1.72,-2.35,-1.09,-1.72,-2.36,-1.08,5.3%,5.3%,0.39,0.0%,0.0%,0.0%,5.3%,5
1,205,6200,135729,Young Dancers Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,205,,,,,,1325,53.8,1204,14,0.27,0.2,0.34,0.26,0.18,0.33,73.6%,55.5%,4.97,72.7%,48.1%,34.3%,71.4%,2
1,206,4325,131690,Arts and Media School Islington,0,FD,121,38.4,101,4,-0.39,-0.64,-0.14,-0.43,-0.68,-0.17,45.5%,31.4%,3.38,37.2%,16.5%,9.1%,42.1%,4
1,206,4112,100453,Beacon High,0,CY,144,32.8,138,4,-1,-1.21,-0.79,-1.03,-1.25,-0.81,36.8%,9.7%,2.62,12.5%,2.8%,1.4%,31.9%,5
2,206,7001,141605,The Bridge Integrated Learning Space,0,FS,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,206,7031,143217,The Bridge School,0,ACCS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,206,4614,100458,Central Foundation Boys' School,0,VA,141,56.2,137,0,0.46,0.24,0.67,0.46,0.24,0.68,78.7%,62.4%,5.1,46.8%,42.6%,33.3%,73.8%,2
1,206,4003,144962,City of London Academy Highbury Grove,0,AC,196,41.5,189,8,-0.42,-0.6,-0.24,-0.46,-0.65,-0.28,58.7%,36.2%,3.91,66.8%,27.6%,18.4%,48.5%,4
