RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,873,4003,139272,Neale-Wade Academy,0,AC,237,42,233,3,-0.24,-0.41,-0.08,-0.25,-0.42,-0.08,54.9%,30.4%,3.43,40.9%,7.6%,1.7%,52.7%,4
1,873,4011,142035,The Netherhall School,0,AC,159,49.1,137,2,0.14,-0.08,0.35,0.12,-0.1,0.33,67.9%,49.1%,4.54,44.0%,37.1%,29.6%,63.5%,3
1,873,4005,139401,North Cambridge Academy,0,AC,68,45.5,62,0,0.27,-0.05,0.59,0.27,-0.06,0.59,57.4%,26.5%,3.39,2.9%,2.9%,1.5%,57.4%,3
1,873,4028,135739,Northstowe Secondary School,0,FD
2,873,6032,133651,The Old School House,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,873,6041,133570,On Track Education Centre Wisbech,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,4027,136636,Parkside Community College,0,ACC,120,59.3,110,2,0.58,0.34,0.82,0.53,0.29,0.78,86.7%,68.3%,5.84,88.3%,67.5%,52.5%,81.7%,1
1,873,6010,110923,The Perse School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,6024,131330,Red Balloon Learner Centre - Cambridge,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,6019,110932,St. Andrew's College Cambridge,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,4602,137924,St Bede's Inter-Church School,0,ACC,156,60.1,149,0,0.82,0.62,1.03,0.82,0.61,1.03,83.3%,69.9%,5.53,61.5%,55.1%,42.9%,80.1%,1
1,873,4064,137305,St Ivo Academy,0,ACC,283,45.3,275,5,-0.19,-0.35,-0.04,-0.21,-0.36,-0.05,65.0%,42.4%,3.91,14.1%,9.2%,5.3%,60.1%,4
1,873,6001,110912,St Mary's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,5412,137248,St Peter's School,0,ACC,165,41.5,157,1,-0.03,-0.23,0.17,-0.04,-0.24,0.17,57.6%,40.0%,3.67,37.6%,18.2%,12.1%,51.5%,3
2,873,7023,110951,Samuel Pepys School,0,CYS,6,NE,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE
1,873,6009,110921,Sancton Wood School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,5408,136775,Sawston Village College,0,ACC,210,56.8,199,0,0.57,0.39,0.74,0.57,0.38,0.75,77.1%,62.4%,5.3,61.4%,51.0%,40.5%,74.8%,1
1,873,5403,136974,Sawtry Village Academy,0,ACC,134,50.5,134,0,0.41,0.19,0.63,0.41,0.19,0.63,72.4%,51.5%,4.43,24.6%,20.1%,15.7%,67.9%,2
2,873,6044,135380,Shelldene House School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,4051,138053,Sir Harry Smith Community College,0,ACC,172,45.1,169,0,-0.04,-0.23,0.16,-0.04,-0.23,0.16,59.9%,37.2%,3.83,26.7%,16.9%,11.0%,54.1%,3
1,873,5415,136610,Soham Village College,0,ACC,268,52.1,260,2,0.44,0.29,0.6,0.44,0.28,0.59,74.6%,48.5%,4.44,25.4%,22.4%,16.4%,72.4%,2
2,873,7018,142557,Spring Common Academy,0,ACCS,10,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,873,6011,110924,The Stephen Perse Foundation,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,4007,136580,Swavesey Village College,0,ACC,273,55.3,265,2,0.58,0.42,0.73,0.58,0.42,0.73,76.9%,54.6%,5.08,63.4%,51.3%,35.2%,75.5%,1
2,873,7006,142932,TBAP Unity Academy,0,ACS,19,8.4,17,0,-2.03,-2.64,-1.42,-2.03,-2.65,-1.41,5.3%,0.0%,0.39,0.0%,0.0%,0.0%,0.0%,5
1,873,4000,137867,Thomas Clarkson Academy,0,AC,203,37.8,184,1,-0.02,-0.21,0.16,-0.03,-0.21,0.16,44.3%,21.2%,2.96,10.3%,6.4%,4.9%,39.4%,3
1,873,4010,145034,Trumpington Community College,0,ACC
1,873,6013,110926,Wisbech Grammar School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,873,4055,137547,Witchford Village College,0,ACC,173,43.3,168,1,-0.33,-0.53,-0.14,-0.34,-0.54,-0.14,60.1%,39.9%,3.77,17.3%,12.1%,9.8%,53.8%,4
4,873,,,,,,5726,49.1,5440,31,0.18,0.14,0.21,0.17,0.14,0.21,67.8%,47.6%,4.36,39.4%,28.1%,20.8%,63.9%,2
1,874,5417,136266,Arthur Mellows Village College,0,ACC,252,50.6,249,1,0.08,-0.08,0.24,0.08,-0.09,0.24,75.0%,51.6%,4.34,32.1%,28.2%,18.3%,71.8%,3
2,874,6004,139018,The Beeches Independent School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,874,4003,139082,City of Peterborough Academy,0,F,109,35.5,93,0,-0.14,-0.4,0.12,-0.14,-0.41,0.12,45.9%,11.9%,3.24,51.4%,16.5%,5.5%,37.6%,3
1,874,4004,142902,Greater Peterborough UTC,0,UTC,94,38.6,87,1,-0.94,-1.21,-0.67,-0.95,-1.22,-0.67,56.4%,31.9%,3.21,2.1%,1.1%,1.1%,41.5%,SUPP
1,874,4082,141300,Hampton College,0,ACC,166,42.6,159,1,-0.48,-0.68,-0.28,-0.48,-0.69,-0.28,56.0%,30.1%,3.65,30.1%,17.5%,13.9%,51.2%,4
1,874,4005,143641,Hampton Gardens Secondary School,0,F
2,874,7020,110948,Heltwate School,0,CYS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,874,6003,136023,Iqra Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,874,5405,145271,Jack Hunt School,0,ACC,278,42.1,267,0,-0.02,-0.17,0.14,-0.02,-0.17,0.14,50.0%,24.8%,3.68,32.7%,15.8%,11.2%,46.0%,3
1,874,4081,110882,Ken Stimpson Community School,0,CY,134,39.4,126,0,-0.51,-0.73,-0.29,-0.51,-0.74,-0.28,52.2%,27.6%,3.19,10.4%,5.2%,0.7%,42.5%,5
1,874,5404,136398,The King's (The Cathedral) School,0,ACC,150,63,149,0,0.68,0.48,0.89,0.68,0.47,0.89,90.0%,74.7%,5.8,70.7%,56.7%,41.3%,88.7%,1
2,874,7013,110943,Marshfields School,0,CYS,25,3.9,20,0,-1.71,-2.27,-1.15,-1.71,-2.29,-1.14,0.0%,0.0%,0.06,0.0%,0.0%,0.0%,0.0%,5
2,874,7000,138271,Medeshamstede Academy,0,FS,13,1.8,13,0,-2.85,-3.55,-2.16,-2.85,-3.56,-2.14,7.7%,0.0%,0.05,0.0%,0.0%,0.0%,0.0%,5
2,874,7025,135386,Nene Gate,0,CYS,8,3,7,0,-2.33,-3.28,-1.38,-2.33,-3.3,-1.36,0.0%,0.0%,0.21,0.0%,0.0%,0.0%,0.0%,5
1,874,4000,137082,Nene Park Academy,0,AC,172,40,160,0,-0.34,-0.54,-0.15,-0.34,-0.55,-0.14,53.5%,22.1%,3.51,47.7%,17.4%,7.6%,47.7%,4
1,874,6906,135980,Ormiston Bushfield Academy,0,AC,143,44.7,136,0,0.19,-0.02,0.41,0.19,-0.03,0.41,53.1%,30.1%,3.52,15.4%,9.8%,7.0%,51.0%,3
2,874,6035,134893,Park House,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,874,6000,110910,The Peterborough School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,874,7024,134272,The Phoenix School,0,CYS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,874,4006,145051,Queen Katharine Academy,0,AC,106,30.9,83,1,-0.28,-0.55,0,-0.29,-0.57,0,24.5%,9.4%,2.58,21.7%,8.5%,3.8%,22.6%,3
1,874,5413,110907,St John Fisher Catholic High School,0,VA,108,42.3,82,0,0.6,0.32,0.88,0.6,0.32,0.88,46.3%,25.0%,3.57,19.4%,12.0%,9.3%,45.4%,1
1,874,4002,137880,Stanground Academy,0,AC,220,40.6,214,5,-0.43,-0.61,-0.26,-0.45,-0.63,-0.28,55.0%,33.2%,3.55,35.9%,21.4%,15.0%,50.9%,4
1,874,6905,135263,Thomas Deacon Academy,0,AC,328,43.3,315,0,0.03,-0.11,0.17,0.03,-0.12,0.17,58.5%,32.6%,3.55,12.2%,8.2%,4.9%,51.2%,3
4,874,,,,,,2330,42.1,2183,9,-0.15,-0.2,-0.1,-0.15,-0.21,-0.1,55.2%,31.7%,3.6,28.6%,17.0%,11.0%,50.3%,4
2,876,7202,111515,Ashley High School,0,CYS,13,11.5,13,0,-2.03,-2.73,-1.33,-2.03,-2.74,-1.32,15.4%,15.4%,1.19,0.0%,0.0%,0.0%,7.7%,5
2,876,7003,140578,The Cavendish High Academy,0,ACCS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
2,876,7200,111514,Chesnut Lodge Special School,0,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,876,4003,144617,The Grange School,0,AC,102,33.7,99,2,-0.97,-1.22,-0.72,-0.98,-1.23,-0.72,41.2%,16.7%,2.99,40.2%,16.7%,5.9%,37.3%,5
1,876,4103,136779,The Heath School,0,ACC,169,48.2,164,2,-0.06,-0.26,0.14,-0.06,-0.26,0.14,65.7%,43.2%,4.14,42.0%,27.8%,16.6%,63.9%,3
2,876,6014,138597,Hope Corner School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,876,6905,136185,Ormiston Bolingbroke Academy,0,AC,144,43.8,144,0,0.04,-0.17,0.25,0.04,-0.17,0.25,34.0%,16.0%,3.13,40.3%,17.4%,8.3%,33.3%,3
1,876,4001,140864,Ormiston Chadwick Academy,0,AC,123,47,118,0,0.56,0.33,0.79,0.56,0.32,0.79,57.7%,30.9%,3.52,9.8%,6.5%,6.5%,56.9%,1
1,876,4721,135731,St Chads Catholic and Church of England High School,0,VA,163,39,162,1,-0.71,-0.91,-0.51,-0.71,-0.91,-0.51,43.6%,22.7%,3.47,68.7%,25.8%,7.4%,39.9%,5
1,876,4625,111457,Saints Peter and Paul Catholic College,0,VA,252,47.8,245,2,-0.1,-0.26,0.06,-0.11,-0.27,0.05,59.1%,37.7%,3.93,30.6%,19.8%,14.7%,56.7%,3
1,876,4000,138198,Sandymoor,0,F,70,45.2,68,0,-0.3,-0.6,0.01,-0.3,-0.61,0.01,55.7%,37.1%,3.92,34.3%,17.1%,8.6%,51.4%,3
1,876,4207,139368,Wade Deacon High School,0,ACC,308,52.7,305,3,0.21,0.07,0.35,0.2,0.06,0.35,76.0%,57.5%,4.52,36.7%,31.5%,23.1%,73.7%,2
2,876,6013,135749,Weston Point College,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,876,,,,,,1363,45.3,1336,10,-0.14,-0.2,-0.07,-0.14,-0.21,-0.07,56.4%,35.8%,3.77,37.3%,21.9%,13.2%,54.1%,4
1,877,4002,139196,Beamont Collegiate Academy,0,AC,128,43.9,124,1,0.21,-0.02,0.44,0.2,-0.03,0.43,51.6%,31.3%,3.57,36.7%,18.0%,14.1%,50.0%,3
1,877,4226,139840,Birchwood Community High School,0,ACC,169,46.1,163,1,-0.18,-0.38,0.01,-0.18,-0.38,0.02,64.5%,45.6%,4.03,47.9%,27.2%,21.9%,59.8%,3
1,877,4229,141598,Bridgewater High School,0,ACC,296,54.3,295,4,0.09,-0.06,0.23,0.08,-0.07,0.23,80.1%,58.4%,4.63,18.9%,16.6%,13.9%,75.3%,3
2,877,6001,134186,Bright Futures,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,877,4624,111456,Cardinal Newman Catholic High School,0,VA,143,41.7,136,2,-0.41,-0.62,-0.19,-0.42,-0.64,-0.2,55.9%,30.1%,3.61,49.0%,26.6%,14.7%,53.1%,4
2,877,7100,111498,Chaigeley School,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,877,4200,111430,Culcheth High School,0,CY,224,51.6,221,3,0.13,-0.04,0.3,0.11,-0.06,0.28,76.3%,53.1%,4.57,38.4%,30.4%,20.1%,71.0%,3
2,877,7002,111496,Fox Wood Special School,0,CYS,10,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,877,4206,139152,Great Sankey High School,0,ACC,296,51.8,289,0,0.21,0.06,0.35,0.21,0.06,0.36,77.7%,53.0%,4.37,24.7%,20.9%,17.6%,72.6%,2
2,877,7001,111495,Green Lane Community Special School,0,CYS,16,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,877,4000,138562,King's Leadership Academy Warrington,0,F,108,57.8,108,0,0.72,0.48,0.96,0.72,0.47,0.97,88.9%,71.3%,5.45,87.0%,58.3%,37.0%,88.9%,1
1,877,4502,138732,Lymm High School,0,ACC,290,57,286,2,0.55,0.4,0.7,0.54,0.39,0.69,89.3%,69.7%,4.99,35.2%,33.1%,25.2%,83.8%,1
1,877,4010,146765,Padgate Academy,0,AC
1,877,4009,145157,Penketh High School,0,ACC,161,45.2,152,1,-0.09,-0.29,0.12,-0.09,-0.3,0.12,70.2%,42.2%,4.04,67.7%,32.3%,14.9%,61.5%,3
1,877,4622,111454,St Gregory's Catholic High School,0,VA,165,49.9,158,0,-0.01,-0.21,0.19,-0.01,-0.22,0.19,74.5%,49.1%,4.37,42.4%,27.3%,18.2%,72.1%,3
1,877,4007,144799,Sir Thomas Boteler Church of England High School,0,AC,109,46.1,104,2,-0.35,-0.6,-0.1,-0.36,-0.61,-0.11,63.3%,43.1%,3.67,11.0%,10.1%,8.3%,55.0%,4
1,877,4001,139072,University Academy Warrington,1,AC,75,39.6,74,1,-0.25,-0.54,0.04,-0.26,-0.56,0.04,56.0%,25.3%,3.33,10.7%,6.7%,4.0%,48.0%,3
1,877,4004,142899,UTC Warrington,0,UTC,92,32.8,90,8,-1.46,-1.73,-1.2,-1.57,-1.84,-1.3,46.7%,23.9%,2.49,0.0%,0.0%,0.0%,39.1%,SUPP
2,877,7103,111501,Woolston Brook School,0,CYS,14,8.2,13,0,-1.96,-2.66,-1.26,-1.96,-2.67,-1.25,0.0%,0.0%,0.45,0.0%,0.0%,0.0%,0.0%,5
4,877,,,,,,2298,48.7,2241,24,0.01,-0.04,0.06,0,-0.06,0.05,71.3%,49.0%,4.2,35.2%,24.3%,17.1%,66.5%,3
1,878,4007,139816,Atlantic Academy,1,F,36,36.8,32,0,-0.48,-0.92,-0.03,-0.48,-0.93,-0.03,44.4%,22.2%,3.45,83.3%,22.2%,5.6%,38.9%,4
1,878,4024,146567,Atlantic Academy,0,F
1,878,4018,142124,Atrium Studio School,0,SS,30,47.9,27,0,-0.46,-0.94,0.03,-0.46,-0.95,0.04,70.0%,23.3%,4.08,26.7%,20.0%,6.7%,66.7%,SUPP
1,878,4021,144392,Axe Valley Academy,0,AC,117,43.7,116,0,-0.38,-0.61,-0.15,-0.38,-0.62,-0.14,61.5%,38.5%,3.84,23.1%,21.4%,12.8%,52.1%,4
2,878,7008,113636,Barley Lane School,0,FDS,8,7.8,7,0,-2.68,-3.63,-1.73,-2.68,-3.65,-1.71,0.0%,0.0%,0.27,0.0%,0.0%,0.0%,0.0%,5
1,878,4019,142540,Bideford College,0,AC,227,41.1,224,4,-0.43,-0.59,-0.26,-0.44,-0.61,-0.27,51.1%,29.1%,3.87,63.9%,27.3%,14.5%,46.7%,4
2,878,7044,113643,Bidwell Brook School,0,FDS,13,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
2,878,6202,133392,Blackford Education (Schools) Ltd T/A the Libra School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6011,113575,Blundell's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6001,113562,Bramdean School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4053,138041,Braunton Academy,0,ACC,133,46.5,128,4,-0.36,-0.58,-0.14,-0.37,-0.6,-0.14,68.4%,30.8%,4,36.1%,17.3%,6.8%,64.7%,4
2,878,6213,135803,Cambian Devon School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6066,143407,Chances Educational Support Services,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4054,137024,Chulmleigh Community College,0,ACC,110,54.1,103,0,0.42,0.17,0.66,0.42,0.16,0.67,76.4%,57.3%,5.16,80.0%,57.3%,33.6%,73.6%,2
1,878,4009,136638,Clyst Vale Community College,0,ACC,174,44.1,168,2,-0.33,-0.52,-0.13,-0.34,-0.54,-0.14,61.5%,36.8%,3.93,42.5%,24.7%,16.7%,57.5%,4
1,878,5400,136366,Colyton Grammar School,0,ACC,124,81.4,113,0,0.97,0.74,1.21,0.97,0.73,1.21,100.0%,100.0%,7.81,90.3%,87.9%,83.1%,100.0%,1
1,878,4112,137176,Coombeshead Academy,0,ACC,138,44.2,135,3,-0.19,-0.4,0.03,-0.2,-0.42,0.02,63.0%,33.3%,3.97,44.9%,24.6%,6.5%,58.7%,3
1,878,4013,141514,Cranbrook Education Campus,0,AC
1,878,4010,113502,Cullompton Community College,0,FD,121,42.2,118,0,-0.13,-0.36,0.1,-0.13,-0.37,0.11,66.9%,43.0%,3.9,52.9%,21.5%,7.4%,55.4%,3
1,878,6905,136200,Dartmouth Academy,0,AC,72,42.9,69,1,0.17,-0.14,0.47,0.17,-0.14,0.48,51.4%,31.9%,3.32,20.8%,9.7%,6.9%,47.2%,3
1,878,4101,113518,Dawlish College,0,FD,111,43.4,108,1,0.11,-0.13,0.35,0.11,-0.14,0.36,54.1%,33.3%,3.78,35.1%,25.2%,18.0%,51.4%,3
2,878,7002,113633,Ellen Tinkham School,0,FDS,11,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
2,878,7083,113654,Exeter Royal Academy for Deaf Education,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6033,113607,Exeter School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6051,113632,Exeter Tutorial College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4012,136612,Exmouth Community College,0,ACC,366,41.7,348,8,-0.4,-0.54,-0.27,-0.43,-0.57,-0.29,60.9%,35.8%,3.42,8.7%,6.3%,4.6%,55.7%,4
1,878,4055,137228,Great Torrington School,0,ACC,145,42.1,144,1,-0.21,-0.42,0,-0.22,-0.43,0,56.6%,29.7%,3.62,40.7%,15.2%,9.0%,49.7%,3
1,878,4056,145343,Holsworthy Community College,0,ACC,108,40.7,105,0,-0.38,-0.63,-0.14,-0.38,-0.63,-0.13,50.0%,25.0%,3.65,47.2%,14.8%,4.6%,47.2%,4
1,878,4004,136912,Honiton Community College,0,ACC,105,44,101,2,-0.47,-0.72,-0.22,-0.49,-0.75,-0.24,63.8%,47.6%,3.79,9.5%,8.6%,8.6%,55.2%,4
1,878,4001,139553,The Ilfracombe Church of England Academy,0,AC,148,42,146,4,-0.26,-0.46,-0.05,-0.28,-0.49,-0.07,56.8%,29.1%,3.56,19.6%,13.5%,9.5%,51.4%,4
1,878,4006,139682,Isca,0,AC,150,44.7,141,2,-0.28,-0.49,-0.07,-0.28,-0.5,-0.07,60.0%,40.7%,3.92,29.3%,20.7%,18.0%,51.3%,4
1,878,4184,136336,Ivybridge Community College,0,ACC,396,50.9,388,3,-0.03,-0.16,0.1,-0.03,-0.16,0.1,76.5%,49.0%,4.53,54.8%,29.5%,19.9%,67.7%,3
1,878,4109,113520,King Edward VI Community College,0,FD,170,46.6,154,4,0,-0.2,0.2,-0.02,-0.23,0.18,63.5%,37.6%,3.97,28.2%,17.6%,11.2%,62.9%,3
1,878,4005,136673,The King's School,0,ACC,185,52.8,177,1,0.18,-0.01,0.37,0.17,-0.02,0.36,78.9%,52.4%,4.59,24.9%,21.1%,12.4%,75.1%,3
1,878,4110,136367,Kingsbridge Academy,0,ACC,192,52.8,184,2,0.32,0.14,0.51,0.31,0.12,0.5,76.6%,58.3%,4.71,62.0%,39.1%,22.4%,74.0%,2
1,878,6030,113604,Kingsley School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,878,7020,113637,The Lampard Community School,0,FDS,19,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,878,6045,113623,Magdalen Court School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,878,7088,131552,Marland School,0,FDS,15,6.8,14,0,-2.48,-3.15,-1.81,-2.48,-3.17,-1.8,0.0%,0.0%,0.28,0.0%,0.0%,0.0%,0.0%,5
1,878,6034,113608,The Maynard School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,878,7006,113635,Mill Water School,0,FDS,6,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,878,6009,113573,Mount Kelly,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,5404,137124,Newton Abbot College,0,ACC,160,45.7,157,3,-0.06,-0.26,0.14,-0.08,-0.29,0.12,61.9%,37.5%,3.9,34.4%,18.1%,11.9%,57.5%,3
1,878,4183,145337,Okehampton College,0,ACC,246,47.9,237,4,0.03,-0.13,0.2,0.01,-0.15,0.18,65.9%,48.0%,4.14,31.3%,22.0%,11.8%,62.6%,3
2,878,6071,145181,On Track Education Centre Barnstaple,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,878,6060,131715,On Track Education Centre Totnes,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,878,7087,113656,Orchard Manor School,0,FDS,17,9.8,11,0,-2.03,-2.79,-1.28,-2.03,-2.81,-1.26,5.9%,5.9%,0.79,0.0%,0.0%,0.0%,5.9%,5
1,878,4059,113514,The Park Community School,0,FD,220,47.6,215,1,-0.31,-0.48,-0.14,-0.31,-0.49,-0.14,70.5%,48.2%,4.21,27.7%,20.0%,15.5%,63.2%,4
2,878,7021,113638,Pathfield School,0,FDS,7,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,878,4060,136867,Pilton Community College,0,ACC,243,43.9,237,4,-0.64,-0.8,-0.47,-0.65,-0.82,-0.49,57.6%,32.1%,3.98,63.8%,32.1%,17.7%,52.3%,5
2,878,6039,113616,Quay View School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4003,136646,Queen Elizabeth's,0,ACC,248,45.1,239,2,-0.32,-0.48,-0.16,-0.33,-0.5,-0.17,63.3%,37.5%,4.02,44.4%,25.8%,16.1%,57.7%,4
1,878,4016,142805,St James School,0,ACC,158,47.1,151,0,-0.02,-0.22,0.19,-0.02,-0.23,0.19,65.2%,42.4%,4.32,70.3%,37.3%,25.3%,58.2%,3
1,878,6018,113583,St John's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4501,113550,St Luke's Science and Sports College,0,VC,151,43.2,147,0,-0.19,-0.4,0.02,-0.19,-0.4,0.02,61.6%,37.1%,3.69,25.2%,17.2%,8.6%,53.0%,3
1,878,4607,113553,St Peter's Church of England Aided School,0,VA,246,52.9,233,1,-0.01,-0.17,0.16,-0.01,-0.18,0.16,78.0%,54.1%,4.74,62.6%,34.6%,23.2%,72.4%,3
1,878,6004,113567,St Wilfrid's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6042,113619,Sands School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,6031,113605,Shebbear College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4011,113503,Sidmouth College,0,CY,137,49.8,130,0,0.27,0.05,0.49,0.27,0.05,0.5,69.3%,45.3%,4.22,19.7%,13.1%,8.8%,59.9%,2
1,878,4108,136569,South Dartmoor Community College,0,ACC,217,44.4,213,5,-0.3,-0.47,-0.13,-0.35,-0.53,-0.17,60.8%,35.9%,3.71,30.0%,15.2%,10.6%,55.3%,4
1,878,6029,113603,South Devon Steiner School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,878,4017,141749,South Devon UTC,0,UTC,72,35.4,67,3,-1.09,-1.39,-0.78,-1.12,-1.43,-0.8,47.2%,30.6%,2.8,0.0%,0.0%,0.0%,43.1%,SUPP
1,878,4057,113512,South Molton Community College,0,FD,116,50.5,114,1,0.22,-0.02,0.45,0.22,-0.02,0.46,71.6%,49.1%,4.42,31.9%,25.0%,19.8%,70.7%,3
2,878,7005,113634,Southbrook School,0,FDS,24,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,878,4002,139661,Steiner Academy Exeter,0,F,23,40,18,1,-0.94,-1.54,-0.35,-0.96,-1.57,-0.36,60.9%,30.4%,3.85,69.6%,39.1%,13.0%,52.2%,5
