"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TPUP","KS2APS","PTFSM6CLA1A","PTNOTFSM6CLA1A","PTSEN","PTEALGRP2","ACCCONVERTER","ACCSPONSOR","FREE_STUDIO_UTC","YEARS3","YEARS4","YEARS5","P8BANDING","EBACC_E_PTQ_EE_WGTAVG","EBACC_95_WGTAVG","EBACC_94_WGTAVG","EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A","EBACC_95_WGTAVG_FSM6CLA1A","EBACC_94_WGTAVG_FSM6CLA1A","EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A","EBACC_95_WGTAVG_NOTFSM6CLA1A","EBACC_94_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_WGTAVG","P8SCORE_ADJ_LOWER","P8SCORE_ADJ_UPPER","P8SCORE_ORIG_WGTAVG","P8SCORE_ORIG_LOWER","P8SCORE_ORIG_UPPER","EBACCAPS_WGTAVG","P8SCORE_ADJ_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_LOWER_FSM6CLA1A","P8SCORE_ADJ_UPPER_FSM6CLA1A","P8SCORE_ORIG_WGTAVG_FSM6CLA1A","P8SCORE_ORIG_LOWER_FSM6CLA1A","P8SCORE_ORIG_UPPER_FSM6CLA1A","EBACCAPS_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_LOWER_NOTFSM6CLA1A","P8SCORE_ADJ_UPPER_NOTFSM6CLA1A","P8SCORE_ORIG_WGTAVG_NOTFSM6CLA1A","P8SCORE_ORIG_LOWER_NOTFSM6CLA1A","P8SCORE_ORIG_UPPER_NOTFSM6CLA1A","EBACCAPS_WGTAVG_NOTFSM6CLA1A","SCHOOL-URNS"
"TR00653",3810,"Multi-academy trust","LYDIATE LEARNING TRUST","Lancashire and West Yorkshire",3,3,395,29,33.7,66.3,8.9,7.8,1,1,1,1,2,0,5,38.8,8.9,16.4,18.1,3.9,8.7,49.1,11.3,20.3,-0.66,-0.79,-0.53,-0.68,-0.81,-0.55,3.52,-1.16,-1.39,-0.94,-1.2,-1.43,-0.97,2.57,-0.41,-0.57,-0.26,-0.43,-0.59,-0.27,3.98,"137533, 138787, 142128"
"TR00136",3878,"Multi-academy trust","MATRIX ACADEMY TRUST","West Midlands",3,3,495,28.1,34.7,65.3,14.7,13.1,2,1,0,0,1,2,3,26.6,15.2,19.8,11.2,5.5,6.8,34.2,19.9,26.2,0.03,-0.09,0.15,0.03,-0.09,0.15,3.84,-0.25,-0.45,-0.06,-0.26,-0.46,-0.06,2.98,0.18,0.04,0.33,0.18,0.03,0.33,4.26,"136885, 137274, 137771"
"TR01435",3910,"Multi-academy trust","MIDSOMER NORTON SCHOOLS PARTNERSHIP","South West",3,3,411,28.7,16.1,83.9,14.1,2.9,3,0,0,1,0,2,2,66.3,17.8,34.6,45.9,7.8,23.3,70.1,19.7,36.7,0.33,0.2,0.45,0.33,0.2,0.45,4.22,0.14,-0.17,0.45,0.14,-0.18,0.46,3.57,0.36,0.22,0.5,0.36,0.22,0.5,4.34,"136311, 136335, 137202"
"TR01527",4036,"Multi-academy trust","NORTHERN EDUCATION TRUST","North",10,10,1443,28.4,45.5,54.5,11.3,2.6,0,10,0,0,3,7,4,18.5,5,8.6,12.2,3.4,5.3,23.8,6.3,11.3,-0.11,-0.18,-0.05,-0.13,-0.2,-0.06,3.57,-0.39,-0.49,-0.3,-0.42,-0.52,-0.32,3,0.12,0.03,0.21,0.12,0.03,0.21,4.05,"135878, 136135, 136146, 139405, 139673, 140002, 140035, 140979, 141185, 141686"
"TR01530",4041,"Multi-academy trust","NORTHERN SCHOOLS TRUST","Lancashire and West Yorkshire",3,3,411,28.4,57.2,42.8,16.8,18.5,0,1,2,0,0,3,4,10.2,1.9,4.4,7.2,0.4,2.1,14.2,4,7.4,-0.45,-0.58,-0.32,-0.53,-0.66,-0.39,3.11,-0.59,-0.76,-0.42,-0.67,-0.85,-0.5,2.79,-0.24,-0.44,-0.04,-0.31,-0.51,-0.11,3.53,"131065, 139588, 139589"
"TR02306",5084,"Multi-academy trust","NOVA EDUCATION TRUST","East Midlands and Humber",3,3,524,29.4,18.5,81.5,5.9,3.8,1,1,1,0,0,3,2,42,23.1,31.5,17.5,7.2,11.3,47.5,26.7,36.1,0.43,0.32,0.54,0.41,0.3,0.53,4.73,-0.18,-0.44,0.07,-0.22,-0.49,0.04,3.27,0.56,0.44,0.68,0.56,0.43,0.68,5.06,"136878, 138411, 141010"
"TR01553",4076,"Multi-academy trust","OASIS COMMUNITY LEARNING","National Sponsor Unit",17,17,2483,27.3,47.5,52.5,12.6,27.8,0,15,2,0,1,16,4,42.5,9.7,15.7,37.7,6.7,11.7,46.9,12.5,19.4,-0.18,-0.23,-0.13,-0.18,-0.23,-0.13,3.47,-0.33,-0.41,-0.26,-0.34,-0.42,-0.26,3.09,-0.03,-0.1,0.04,-0.03,-0.11,0.04,3.8,"134311, 135176, 135209, 135628, 135629, 135654, 135661, 135663, 135671, 135721, 135958, 135968, 136027, 139659, 139995, 141082, 141652"
"SP00560",4105,"School sponsor","Ormiston Academies Trust","National Sponsor Unit",25,25,3695,27.7,37,63,17.5,10.3,2,23,0,0,0,25,3,20.9,6.8,11.2,14.3,3.6,6.4,24.7,8.7,14.1,-0.02,-0.06,0.02,-0.02,-0.07,0.02,3.42,-0.3,-0.37,-0.23,-0.31,-0.38,-0.24,2.8,0.15,0.1,0.21,0.15,0.1,0.21,3.79,"135234, 135769, 135960, 135979, 135980, 136145, 136185, 136186, 136187, 136680, 137109, 137152, 137196, 137673, 137674, 138506, 139403, 139918, 140032, 140199, 140364, 140845, 140864, 141169, 141269"
"TR01585",4119,"Multi-academy trust","OUTWOOD GRANGE ACADEMIES TRUST","National Sponsor Unit",14,14,2398,28.2,32.4,67.6,15,6.9,3,11,0,1,4,9,2,16.1,10.3,13.5,7.9,4.2,6.3,19.8,13,16.8,0.16,0.1,0.21,0.15,0.1,0.2,3.88,-0.24,-0.33,-0.15,-0.25,-0.35,-0.16,3.04,0.34,0.28,0.41,0.34,0.28,0.41,4.26,"135961, 135963, 137004, 137412, 138247, 138248, 138711, 139210, 139211, 139277, 139823, 140415, 141377, 141399"
"TR01767",4338,"Multi-academy trust","REDHILL ACADEMY TRUST","East Midlands and Humber",6,6,845,28.6,31.7,68.3,7.5,3.6,1,5,0,2,1,3,3,31.2,16.3,23,25,10,17,34.1,19.2,25.7,0.09,0,0.18,0.08,-0.01,0.17,4.12,-0.19,-0.34,-0.03,-0.19,-0.35,-0.03,3.48,0.21,0.11,0.32,0.2,0.09,0.3,4.41,"136361, 137085, 137112, 140992, 141363, 144487"
"SP00445",4420,"School sponsor","Russell Education Trust","South East and South London",4,4,474,29.7,15.4,84.6,13.7,10.3,0,0,4,0,0,4,2,58.2,35,47.3,49.3,24.7,35.6,59.9,36.9,49.4,0.28,0.16,0.4,0.28,0.16,0.4,4.92,0.03,-0.27,0.33,0.02,-0.29,0.32,4.23,0.32,0.19,0.45,0.32,0.19,0.45,5.05,"136822, 138239, 139409, 139410"
"TR02243",4903,"Multi-academy trust","STAR ACADEMIES","Lancashire and West Yorkshire",10,10,1020,28.4,33.7,66.3,10.8,66,1,2,7,2,4,4,1,89.3,28.8,43.5,84.6,19.7,33.8,91.6,33.2,48.2,0.74,0.65,0.82,0.73,0.65,0.81,4.88,0.41,0.27,0.55,0.4,0.25,0.54,4.32,0.9,0.79,1,0.89,0.79,1,5.16,"138220, 140957, 140958, 140959, 141565, 141969, 141970, 141971, 142469, 142681"
"TR02230",4885,"Multi-academy trust","SWALE ACADEMIES TRUST","South East and South London",3,3,536,27.4,30.8,69.2,7.8,3.4,1,2,0,0,0,3,4,37.5,10.6,19.6,28.5,7.9,11.5,41.5,11.9,23.2,-0.15,-0.26,-0.04,-0.16,-0.27,-0.05,3.44,-0.57,-0.77,-0.38,-0.6,-0.8,-0.4,2.78,0.04,-0.09,0.17,0.04,-0.1,0.17,3.73,"136286, 137687, 139075"
"TR02239",4899,"Multi-academy trust","TAPTON SCHOOL ACADEMY TRUST","East Midlands and Humber",3,3,542,28.6,29.5,70.5,15.3,12.2,1,2,0,0,0,3,3,41.1,19.2,29.2,23.1,8.1,13.8,48.7,23.8,35.6,-0.1,-0.21,0.01,-0.1,-0.21,0.01,4.05,-0.66,-0.86,-0.46,-0.68,-0.89,-0.47,2.77,0.14,0.01,0.27,0.14,0,0.27,4.59,"138069, 138414, 140547"
"TR00089",2166,"Multi-academy trust","THE ARTHUR TERRY LEARNING PARTNERSHIP","West Midlands",3,3,541,29.2,20.1,79.9,13.7,6.5,3,0,0,0,1,2,3,65.6,22,41.9,47.1,9.5,16.1,70.4,25.1,48.5,0.09,-0.02,0.2,0.09,-0.02,0.2,4.59,-0.33,-0.57,-0.09,-0.33,-0.58,-0.09,3.52,0.2,0.08,0.32,0.2,0.07,0.32,4.86,"136986, 138136, 138137"
"TR01381",5494,"Multi-academy trust","THE ATHELSTAN TRUST","South West",3,3,552,29.2,15.6,84.4,9.8,2.2,2,1,0,0,2,1,3,43.2,19.1,29.5,20.5,4.9,10.8,47.2,21.6,32.9,-0.1,-0.21,0,-0.11,-0.22,0,4.27,-0.64,-0.92,-0.37,-0.67,-0.95,-0.4,2.92,-0.01,-0.13,0.11,-0.01,-0.13,0.11,4.51,"137308, 138421, 142316"
"TR00327",2471,"Multi-academy trust","THE BROOKE WESTON TRUST","North West London and South Central",5,5,827,27.8,25,75,12.9,17.4,0,4,1,0,0,5,3,35.9,16.4,25.9,16.4,5.3,8.2,42.4,20.2,31.8,0,-0.09,0.09,0,-0.09,0.09,3.8,-0.44,-0.61,-0.26,-0.44,-0.62,-0.26,2.83,0.15,0.04,0.25,0.14,0.04,0.25,4.12,"135306, 135317, 135967, 137867, 138254"
"TR00550",2753,"Multi-academy trust","THE CAM ACADEMY TRUST","East of England and North East London",4,4,705,28.8,17.6,82.4,11.1,12.2,3,0,1,1,0,3,2,49,27.7,35.5,30.1,10.8,13.3,52.7,31,39.7,0.33,0.23,0.43,0.33,0.23,0.43,4.79,-0.36,-0.59,-0.13,-0.37,-0.6,-0.14,3.24,0.47,0.36,0.58,0.47,0.36,0.58,5.09,"136463, 137248, 137527, 139408"
