2018 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: This publication now includes the retention, and continuation and attainment data.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
DQ,PT_Retained_ALEV_Ret_DIS,Percentage of disadvantaged students who completed an A level core aim for retention measure,.,.,.,.
DR,T_InScope_ACAD_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification,.,.,.,.
DS,PT_Retained_ACAD_Ret_DIS,Percentage of disadvantaged students who completed an academic core aim for retention measure,.,.,.,.
DT,T_InScope_AGEN_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification,.,.,.,.
DU,PT_Retained_AGEN_Ret_DIS,Percentage of disadvantaged students who completed an applied general core aim for retention measure,.,.,.,.
DV,T_InScope_TLEV_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a tech level qualification,.,.,.,.
DW,PT_Retained_TLEV_Ret_DIS,Percentage of disadvantaged students who completed a tech level core aim for retention measure,.,.,.,.
DX,TALLPUP_TechCert_DIS,Number of disadvantaged students at the end of 16-18 study entered for at least one technical certificate qualification ,,,,
DY,TALLPPE_TechCert_DIS,Average point score per technical certificate entry for disadvantaged students,,,,
DZ,TALLPPEGRD_TechCert_DIS,Average point score per technical certificate entry expressed as a grade for disadvantaged students,,,,
EA,T_AIMS_TechCert_DIS,Number of technical certificate aims in completion and attainment measure for disadvantaged students,.,.,.,.
EB,CA_Score_TechCert_DIS,Technical certificate completion and attainment score for disadvantaged students,.,.,.,.
EC,T_InScope_TechCert_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a technical certificate programme,.,.,.,.
ED,PT_Retained_TechCert_Ret_DIS,Percentage of disadvantaged students who completed a technical certificate core aim for retention measure,.,.,.,.
EE,TALLPUP_L2VOC_DIS,Number of disadvantaged students at the end of 16-18 study entered for at least one level 2 vocational qualification,,,,
EF,TALLPPE_L2VOC_DIS,Average point score per level 2 vocational entry for disadvantaged students,,,,
EG,TALLPPEGRD_L2VOC_DIS,Average point score per level 2 vocational entry expressed as a grade for disadvantaged students,,,,
EH,T_AIMS_L2VOC_DIS,Number of level 2 vocational or technical certificate aims in completion and attainment for disadvantaged students,.,.,.,.
EI,CA_Score_L2VOC_DIS,Level 2 vocational completion and attainment score for disadvantaged students,.,.,.,.
EJ,T_InScope_L2VOC_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a level 2 programme,.,.,.,.
EK,PT_Retained_L2VOC_Ret_DIS,Percentage of disadvantaged students who completed a level 2 core aim for retention measure,.,.,.,.
EL,TALLPUP_1618_NOTDIS,Number of non-disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
EM,TALLPUP_ALEV_1618_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one A level qualification,,,,
EN,TALLPPE_ALEV_1618_NOTDIS,Average point score per A level entry for non-disadvantaged students,,,,
EO,TALLPPEGRD_ALEV_NOTDIS,Average point score per A level entry for non-disadvantaged students expressed as a grade,,,,
EP,TALLPUP_ACAD_1618_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one academic qualification,,,,
EQ,TALLPPE_ACAD_1618_NOTDIS,Average point score per academic entry for non-disadvantaged students,,,,
ER,TALLPPEGRD_ACAD_NOTDIS,Average point score per academic entry for non-disadvantaged students expressed as a grade,,,,
ES,TALLPUP_AGEN_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered at lest one applied general qualification,,,,
ET,TALLPPE_AGEN_NOTDIS,Average point score per applied general entry for non-disadvantaged students,,,,
EU,TALLPPEGRD_AGEN_NOTDIS,Average point score per applied general entry expressed as a grade for non-disadvantaged students,,,,
EV,TALLPUP_TLEV_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one tech level qualification,,,,
EW,TALLPPE_TLEV_NOTDIS,Average point score per tech level entry for non-disadvantaged students,,,,
EX,TALLPPEGRD_TLEV_NOTDIS,Average point score per tech level entry expressed as a grade for non-disadvantaged students,,,,
EY,T_SCOPEEX_E_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study in scope for English progress measure,,,,
EZ,PROGEX_E_NOTDIS,Average progress made in English by non-disadvantaged students,,,,
FA,T_SCOPEEX_M_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study in scope for maths progress measure,,,,
FB,PROGEX_M_NOTDIS,Average progress made in maths by non-disadvantaged students,,,,
FC,T_AIMS_TLEV_NOTDIS,Number of Tech Level aims in completion and attainment for non-disadvantaged students,.,.,.,.
FD,CA_Score_TLEV_NOTDIS,Tech Level completion and attainment score for non-disadvantaged students,.,.,.,.
FE,T_InScope_ALEV_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an A level qualification,.,.,.,.
FF,PT_Retained_ALEV_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an A level core aim for retention measure,.,.,.,.
