"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PSENELSE","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","SCHOOL-URNS"
"TR00800",3111,"Multi-academy trust","FLYING HIGH TRUST","East Midlands and Humber",6,6,328,15.7,33.2,66.8,0.6,6.1,4,2,0,2,4,3,0.1,-0.6,0.7,"0.1","-1","1.2","0.1","-0.8","0.9",2,1.7,1.1,2.3,"1.5","0.5","2.6","1.8","1","2.5","2","0.9","0.3","1.5","0.3","-0.7","1.3","1.3","0.6","2",0,-0.6,0.7,"0.1","-1.1","1.2","0","-0.8","0.8",1.7,1,2.3,"1.5","0.4","2.6","1.8","1","2.6","0.9","0.3","1.5","0.3","-0.8","1.3","1.3","0.6","2","138353, 140282, 140398, 140637, 141774, 142070"
"TR00801",3112,"Multi-academy trust","FOCUS ACADEMY TRUST (UK) LTD","Lancashire and West Yorkshire",9,9,405,15.1,39.5,60.5,2.2,50.9,6,3,0,1,8,3,-0.2,-0.8,0.4,"-1","-1.9","0","0.3","-0.4","1.1",3,0,-0.6,0.5,"0.2","-0.7","1.1","-0.2","-0.9","0.5","3","0.1","-0.4","0.6","-0.8","-1.6","0.1","0.7","0","1.4",-0.2,-0.8,0.4,"-1.1","-2","-0.1","0.3","-0.4","1.1",0,-0.6,0.5,"0.2","-0.7","1.1","-0.2","-0.9","0.6","0.1","-0.5","0.6","-0.8","-1.7","0.1","0.6","-0.1","1.3","139356, 139357, 139358, 139379, 139704, 140100, 140234, 140738, 141365"
"TR00416",2579,"Multi-academy trust","FRASSATI CATHOLIC ACADEMY TRUST","North West London and South Central",3,3,98,16.4,10.2,89.8,2,24.5,3,0,0,2,1,2,2.1,0.9,3.3,"-0.2","-4.1","3.7","2.4","1.1","3.7",3,1.1,-0.1,2.2,"0.2","-3.5","4","1.2","0","2.4","2","3","1.9","4.1","0.2","-3.4","3.7","3.3","2.1","4.4",2.1,0.9,3.4,"-0.2","-4.2","3.8","2.4","1.1","3.7",1.1,-0.1,2.3,"0.2","-3.6","4","1.2","0","2.4","3","1.9","4.1","0.2","-3.4","3.8","3.3","2.1","4.4","139882, 141818, 142319"
"TR00842",3163,"Multi-academy trust","GATEWAY LEARNING COMMUNITY","East of England and North East London",3,3,232,15.9,55.2,44.8,2.2,15.5,1,1,1,0,3,5,-3.7,-4.5,-2.9,"-4.8","-5.9","-3.7","-2.4","-3.6","-1.2",4,-1.5,-2.3,-0.8,"-2.3","-3.4","-1.3","-0.5","-1.7","0.6","4","-2.2","-3","-1.5","-3.3","-4.2","-2.3","-1","-2","0.1",-3.8,-4.6,-3,"-4.9","-6","-3.8","-2.4","-3.6","-1.2",-1.6,-2.3,-0.8,"-2.4","-3.4","-1.3","-0.5","-1.7","0.6","-2.3","-3","-1.5","-3.3","-4.3","-2.3","-1","-2.1","0.1","138048, 138334, 138962"
"TR00860",3190,"Multi-academy trust","GLF SCHOOLS","South East and South London",9,9,553,16.7,23.7,76.3,3.3,8.5,4,5,0,3,6,3,-0.5,-1,0,"-1.6","-2.7","-0.6","-0.1","-0.7","0.5",4,-0.8,-1.3,-0.3,"-2.7","-3.7","-1.8","-0.1","-0.7","0.4","4","-1.5","-1.9","-1","-2.5","-3.5","-1.6","-1.1","-1.6","-0.6",-0.5,-1,0,"-1.6","-2.7","-0.6","-0.1","-0.7","0.5",-0.9,-1.4,-0.4,"-3","-4","-2","-0.2","-0.7","0.4","-1.5","-2","-1","-2.5","-3.5","-1.6","-1.1","-1.7","-0.6","138764, 139915, 139916, 140349, 140350, 140880, 141447, 141593, 142019"
"TR00227",3188,"Multi-academy trust","GLOUCESTERSHIRE LEARNING ALLIANCE","South West",3,3,170,15.4,30,70,4.1,8.2,3,0,0,0,3,3,-0.6,-1.5,0.3,"-0.5","-2.1","1.2","-0.7","-1.8","0.4",4,-1.7,-2.6,-0.9,"-3.4","-4.9","-1.8","-1","-2.1","0","4","-1.2","-2","-0.3","-1.5","-2.9","0","-1.1","-2","-0.1",-0.6,-1.5,0.3,"-0.5","-2.1","1.2","-0.7","-1.8","0.4",-1.8,-2.7,-0.9,"-3.4","-5","-1.8","-1.1","-2.2","0","-1.2","-2","-0.3","-1.5","-3","0.1","-1.1","-2.1","-0.1","137194, 137255, 137271"
"TR00914",3252,"Multi-academy trust","GREENWOOD ACADEMIES TRUST","East Midlands and Humber",18,18,907,15.1,45.5,54.5,0.7,28.4,1,17,0,3,15,3,-0.2,-0.6,0.2,"-0.5","-1","0.1","0","-0.5","0.6",3,-0.3,-0.7,0,"-0.5","-1","0.1","-0.2","-0.7","0.3","3","0","-0.4","0.4","-0.4","-0.9","0.1","0.3","-0.2","0.8",-0.2,-0.6,0.2,"-0.5","-1.1","0.1","0","-0.6","0.6",-0.3,-0.7,0.1,"-0.5","-1","0.1","-0.2","-0.7","0.3","0","-0.4","0.4","-0.4","-0.9","0.1","0.3","-0.2","0.9","135881, 136721, 138442, 138444, 138445, 138553, 138570, 139112, 139113, 139325, 139827, 139941, 140043, 140327, 140377, 141124, 141982, 142062"
"SP01134",4974,"School sponsor","Hamwic Education Trust","South East and South London",4,4,234,17,26.9,73.1,2.1,21.8,3,1,0,2,2,3,-0.2,-1,0.6,"-0.3","-1.9","1.2","-0.2","-1.1","0.8",4,-1.8,-2.5,-1,"-1.6","-3.1","-0.2","-1.9","-2.7","-1","3","-0.5","-1.2","0.2","-0.4","-1.8","1","-0.6","-1.4","0.3",-0.2,-1,0.5,"-0.3","-1.9","1.2","-0.2","-1.2","0.7",-1.9,-2.6,-1.1,"-1.7","-3.1","-0.2","-2","-2.8","-1.1","-0.6","-1.3","0.2","-0.4","-1.8","1","-0.6","-1.5","0.2","138910, 139632, 141494, 141728"
"SP00257",3319,"School sponsor","Harris Federation","National Sponsor Unit",11,11,692,16.3,42.5,57.5,2,44.5,2,9,0,0,11,2,1.3,0.8,1.8,"1.5","0.8","2.3","1.2","0.6","1.8",2,1.9,1.4,2.3,"1.8","1.1","2.4","2","1.4","2.6","2","2.1","1.7","2.6","2","1.3","2.6","2.3","1.7","2.9",1.3,0.8,1.8,"1.5","0.8","2.3","1.2","0.5","1.8",1.8,1.4,2.3,"1.7","1","2.3","2","1.4","2.6","2.1","1.7","2.6","1.9","1.2","2.6","2.3","1.7","2.9","137413, 138349, 138446, 138447, 139640, 139678, 139703, 139905, 139965, 139966, 141143"
"TR01013",3370,"Multi-academy trust","HEARTS ACADEMY TRUST","East of England and North East London",3,3,40,14.8,60,40,5,10,1,2,0,2,1,4,-2.6,-4.5,-0.7,"-2.8","-5.3","-0.4","-2.1","-5.1","0.9",3,-0.8,-2.6,1,"-0.8","-3.2","1.5","-0.6","-3.5","2.3","3","-1.5","-3.2","0.3","-3.2","-5.4","-1","1.2","-1.6","3.9",-2.6,-4.6,-0.7,"-3","-5.4","-0.5","-2.1","-5.2","1",-1.2,-3,0.7,"-1.2","-3.6","1.1","-1","-3.9","2","-1.7","-3.5","0","-3.4","-5.6","-1.1","0.8","-2","3.5","138404, 141656, 141715"
"TR01014",3371,"Multi-academy trust","HEARTWOOD CHURCH OF ENGLAND ACADEMY TRUST","West Midlands",4,3,66,16.4,21.2,78.8,0,0,4,0,0,0,4,3,-0.7,-2.1,0.8,"-2","-5.2","1.3","-0.3","-2","1.3",3,-0.1,-1.5,1.3,"-0.6","-3.7","2.4","0.1","-1.5","1.7","3","0.4","-0.9","1.8","-0.1","-3.1","2.8","0.6","-0.9","2.1",-0.7,-2.1,0.8,"-2","-5.3","1.3","-0.3","-2","1.3",-0.1,-1.5,1.3,"-0.6","-3.7","2.4","0.1","-1.5","1.7","0.4","-1","1.8","-0.1","-3.1","2.9","0.6","-1","2.1","140125, 140139, 140152, 140153"
"TR01126",3502,"Multi-academy trust","HULL COLLABORATIVE ACADEMY TRUST","East Midlands and Humber",6,6,282,15.7,42.2,57.8,2.8,11.3,5,1,0,1,5,2,2.8,2.1,3.6,"2.9","1.8","4","2.9","1.9","3.8",1,2.8,2.1,3.4,"2.4","1.3","3.4","3.1","2.2","4","1","3.5","2.8","4.1","3","2","4","3.8","2.9","4.6",2.8,2.1,3.5,"2.8","1.7","3.9","2.9","1.9","3.8",2.8,2.1,3.5,"2.4","1.3","3.4","3.1","2.2","4","3.5","2.8","4.1","3","2","4","3.8","2.9","4.6","139525, 139799, 139838, 139848, 139850, 139886"
"TR02684",3527,"Multi-academy trust","INNOVATE MULTI ACADEMY TRUST","North West London and South Central",4,4,89,17.1,23.6,76.4,3.4,1.1,4,0,0,0,4,3,-0.7,-2,0.5,"-1.9","-4.5","0.6","-0.4","-1.8","1.1",3,-0.9,-2,0.3,"-2","-4.4","0.5","-0.5","-1.9","0.9","4","-1.5","-2.7","-0.4","-3.1","-5.4","-0.7","-1.1","-2.4","0.2",-0.8,-2,0.5,"-2.1","-4.7","0.4","-0.4","-1.8","1.1",-0.9,-2.1,0.3,"-2.1","-4.6","0.4","-0.5","-1.9","0.9","-1.6","-2.8","-0.5","-3.1","-5.5","-0.7","-1.2","-2.5","0.1","141073, 141077, 141079, 141080"
"TR01149",3531,"Multi-academy trust","INSPIRATION TRUST","East of England and North East London",4,4,161,15.3,59.6,40.4,1.2,25.5,0,4,0,2,2,4,-2.2,-3.2,-1.3,"-2.9","-4.1","-1.6","-1.2","-2.7","0.3",4,-1.7,-2.6,-0.7,"-2.4","-3.5","-1.2","-0.6","-2.1","0.9","3","-0.6","-1.5","0.3","-1.5","-2.6","-0.3","0.7","-0.7","2.1",-2.3,-3.3,-1.3,"-3","-4.3","-1.7","-1.2","-2.8","0.4",-1.8,-2.8,-0.9,"-2.6","-3.8","-1.3","-0.8","-2.3","0.7","-0.6","-1.5","0.3","-1.5","-2.7","-0.4","0.7","-0.7","2.2","138793, 139929, 141358, 141359"
"TR01505",3996,"Multi-academy trust","INSPIRATIONAL LEARNING ACADEMIES TRUST","West Midlands",3,3,108,15.2,58.3,41.7,1.9,7.4,1,2,0,1,2,1,3.5,2.3,4.6,"3.4","1.9","4.9","3.6","1.8","5.4",3,0.7,-0.3,1.8,"0.5","-1","1.9","1.2","-0.5","2.9","2","1.9","0.8","2.9","2.6","1.2","3.9","1","-0.7","2.6",3.4,2.3,4.6,"3.3","1.8","4.8","3.6","1.8","5.4",0.5,-0.6,1.7,"0.3","-1.2","1.7","1","-0.8","2.7","1.7","0.7","2.8","2.3","1","3.7","1","-0.7","2.6","140285, 140859, 141346"
"TR03140",15799,"Multi-academy trust","INSPIRE EDUCATION TRUST","West Midlands",3,2,132,17.2,16.7,83.3,1.5,18.9,2,1,0,3,0,3,-1,-2.1,0,"SUPPM","SUPPM","SUPPM","-0.9","-2.1","0.2",3,-0.9,-1.9,0.1,"SUPPM","SUPPM","SUPPM","-0.7","-1.8","0.4","3","-0.5","-1.5","0.4","SUPPM","SUPPM","SUPPM","0.1","-0.9","1.1",-1.1,-2.2,0,"SUPPM","SUPPM","SUPPM","-1","-2.2","0.2",-0.9,-1.9,0.1,"SUPPM","SUPPM","SUPPM","-0.8","-1.9","0.4","-0.5","-1.5","0.5","SUPPM","SUPPM","SUPPM","0.1","-1","1.2","142039, 142244, 142245"
"TR01151",3534,"Multi-academy trust","INSPIRE MULTI ACADEMY TRUST","North",3,3,104,14.9,59.6,40.4,1.9,0,1,2,0,0,3,3,0.9,-0.3,2,"0.9","-0.6","2.4","0.8","-1.1","2.6",3,0,-1.1,1.1,"-0.1","-1.6","1.3","0.1","-1.6","1.9","2","1.2","0.2","2.3","0.3","-1.1","1.6","2.6","1","4.3",0.9,-0.3,2,"0.9","-0.6","2.5","0.8","-1.1","2.6",0,-1.1,1.1,"-0.1","-1.6","1.3","0.1","-1.6","1.9","1.2","0.1","2.3","0.3","-1.1","1.7","2.6","0.9","4.3","139103, 139389, 139391"
"TR01197",3594,"Multi-academy trust","KENT CATHOLIC SCHOOLS' PARTNERSHIP","South East and South London",16,16,577,16.8,19.8,80.2,2.3,20.1,15,1,0,8,8,2,0.6,0.1,1.1,"-0.7","-1.8","0.4","1","0.4","1.5",2,0.5,0.1,1,"-0.5","-1.6","0.6","0.8","0.3","1.3","3","0.2","-0.3","0.6","-1.4","-2.5","-0.4","0.6","0.1","1.1",0.6,0.1,1.1,"-0.7","-1.9","0.4","1","0.4","1.5",0.5,0.1,1,"-0.5","-1.6","0.6","0.8","0.3","1.3","0.1","-0.4","0.6","-1.5","-2.6","-0.5","0.5","0","1","140520, 140641, 140873, 140980, 141065, 141067, 141156, 141157, 141471, 141472, 141497, 141532, 141580, 141629, 142156, 142162"
"TR01202",3603,"Multi-academy trust","KESKOWETHYANS MULTI ACADEMY TRUST","South West",4,3,25,17.3,44,56,0,0,4,0,0,0,4,3,1.9,-0.5,4.3,"1.5","-2","5","2.3","-1","5.5",5,-3.5,-5.8,-1.2,"-4.3","-7.7","-0.9","-2.8","-5.9","0.3","3","0.3","-1.9","2.4","-0.4","-3.6","2.8","0.8","-2.2","3.8",1.9,-0.5,4.4,"1.5","-2.1","5.1","2.3","-1","5.6",-4,-6.3,-1.7,"-4.3","-7.8","-0.9","-3.7","-6.9","-0.6","0.3","-2","2.5","-0.4","-3.7","2.8","0.8","-2.2","3.8","140630, 140632, 140635, 140642"
"TR01262",3670,"Multi-academy trust","L.E.A.D. MULTI-ACADEMY TRUST","East Midlands and Humber",12,12,431,14.7,47.8,52.2,0.2,31.8,8,4,0,2,10,2,1.2,0.6,1.8,"0.3","-0.6","1.1","2.1","1.3","2.9",2,2.5,2,3.1,"1.6","0.8","2.4","3.4","2.7","4.2","2","1.5","1","2.1","0.7","-0.1","1.5","2.3","1.6","3.1",1.2,0.6,1.8,"0.3","-0.6","1.1","2.1","1.3","2.9",2.5,1.9,3.1,"1.6","0.8","2.4","3.4","2.6","4.2","1.5","1","2.1","0.7","-0.1","1.5","2.3","1.6","3.1","137443, 137525, 137526, 137550, 137786, 138999, 139232, 140239, 140303, 140544, 141334, 141586"
"TR01290",3705,"Multi-academy trust","LDBS FRAYS ACADEMY TRUST","North West London and South Central",3,3,163,15.4,41.1,58.9,3.1,42.3,2,1,0,0,3,2,1.6,0.6,2.6,"1.6","0.1","3.1","1.6","0.3","3",3,0.9,0,1.9,"0","-1.4","1.3","1.7","0.4","3","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM",1.6,0.6,2.6,"1.6","0.1","3.1","1.6","0.3","3",0.9,0,1.9,"0","-1.5","1.4","1.7","0.4","3.1","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","SUPPM","139275, 139302, 139306"
"TR01293",3710,"Multi-academy trust","LEARNING ACADEMY PARTNERSHIP (SOUTH WEST)","South West",4,4,135,16.4,34.1,65.9,1.5,5.9,3,1,0,2,2,2,3,2,4.1,"3.4","1.7","5.2","2.8","1.5","4.1",3,0.8,-0.2,1.8,"0.8","-0.9","2.5","0.8","-0.5","2","1","3.4","2.5","4.4","4.5","2.9","6.1","2.8","1.6","4",3,2,4.1,"3.4","1.7","5.2","2.8","1.5","4.1",0.8,-0.3,1.8,"0.8","-0.9","2.5","0.8","-0.5","2","3.4","2.4","4.4","4.5","2.9","6.1","2.8","1.6","4","137304, 138047, 142251, 142287"
"TR01296",3715,"Multi-academy trust","LEARNING PATHWAYS ACADEMY","East of England and North East London",3,3,160,16,33.8,66.3,3.1,11.3,1,2,0,1,2,2,1,0.1,2,"-0.4","-2.1","1.2","1.8","0.6","3",3,0.4,-0.5,1.3,"-0.8","-2.4","0.7","1.1","0","2.2","2","1.5","0.6","2.3","-0.8","-2.3","0.7","2.6","1.6","3.7",1,0.1,2,"-0.4","-2.1","1.2","1.8","0.6","3",0.4,-0.5,1.4,"-0.8","-2.4","0.8","1.1","-0.1","2.2","1.5","0.6","2.3","-0.8","-2.3","0.7","2.6","1.5","3.7","138028, 138575, 140396"
"TR01302",3725,"Multi-academy trust","LEIGH ACADEMIES TRUST","South East and South London",5,5,236,15.6,42.4,57.6,1.3,18.2,2,3,0,1,4,3,-0.7,-1.5,0.1,"-0.8","-2","0.4","-0.6","-1.7","0.4",2,2.1,1.4,2.9,"2.2","1.1","3.4","2","1.1","3","3","0.3","-0.4","1","0.2","-0.9","1.3","0.4","-0.5","1.4",-0.8,-1.5,0,"-0.9","-2.1","0.4","-0.6","-1.7","0.4",2.1,1.4,2.9,"2.2","1.1","3.4","2","1","3.1","0.3","-0.4","1","0.2","-0.9","1.3","0.4","-0.5","1.4","137881, 137882, 138195, 139615, 141534"
"TR01303",3727,"Multi-academy trust","LEIGH TRUST","West Midlands",3,3,252,14.7,48,52,1.6,87.7,1,2,0,1,2,3,0.5,-0.3,1.3,"0.7","-0.4","1.8","0.3","-0.8","1.4",3,0.6,-0.1,1.4,"0.8","-0.3","1.9","0.5","-0.5","1.5","2","3","2.3","3.7","2.9","1.9","3.9","3.1","2.1","4",0.5,-0.3,1.3,"0.7","-0.4","1.8","0.3","-0.8","1.4",0.6,-0.1,1.4,"0.8","-0.3","1.9","0.5","-0.6","1.6","3","2.3","3.7","2.9","1.9","3.9","3.1","2","4.1","140502, 140656, 141319"
"SP00695",3757,"School sponsor","Lion Academy Trust","East of England and North East London",4,4,306,15.6,37.6,62.4,1,75.2,1,2,1,0,4,3,0.4,-0.3,1.1,"-0.2","-1.3","0.9","0.7","-0.2","1.6",1,3.7,3,4.4,"3.2","2.1","4.3","4","3.2","4.9","2","1.7","1.1","2.3","1","0","2","2.2","1.3","3",0.4,-0.4,1.1,"-0.2","-1.3","1","0.7","-0.2","1.7",3.7,3,4.4,"3.2","2.1","4.3","4","3.1","4.9","1.7","1","2.3","1","-0.1","2","2.2","1.3","3","138690, 139724, 140405, 141209"
"TR03020",5609,"Multi-academy trust","LUMEN CHRISTI CATHOLIC MULTI ACADEMY COMPANY","West Midlands",5,5,176,15.9,43.2,56.8,1.1,18.8,3,2,0,5,0,2,1.4,0.5,2.3,"1.3","-0.1","2.7","1.5","0.3","2.7",2,1.1,0.3,2,"1.6","0.2","2.9","0.9","-0.3","2","2","1.4","0.5","2.2","0.8","-0.5","2.1","1.8","0.7","2.9",1.4,0.5,2.3,"1.3","-0.2","2.7","1.5","0.3","2.7",1.1,0.3,2,"1.6","0.2","2.9","0.9","-0.3","2","1.4","0.5","2.2","0.8","-0.5","2.1","1.8","0.7","2.9","141669, 141670, 141815, 141820, 141830"
"TR01382",3834,"Multi-academy trust","MALTBY LEARNING TRUST","East Midlands and Humber",4,3,158,17.1,25.3,74.7,0.6,1.3,3,1,0,3,1,4,-2.3,-3.2,-1.3,"-1.7","-3.5","0.2","-2.5","-3.6","-1.4",3,-0.8,-1.7,0.1,"-0.9","-2.7","0.8","-0.7","-1.7","0.3","4","-1.5","-2.4","-0.7","-1.7","-3.4","-0.1","-1.4","-2.4","-0.5",-2.4,-3.4,-1.5,"-1.7","-3.6","0.2","-2.7","-3.8","-1.6",-0.9,-1.8,0,"-0.9","-2.8","0.9","-0.8","-1.9","0.2","-1.7","-2.5","-0.8","-1.7","-3.5","0","-1.6","-2.7","-0.6","140583, 141366, 141729, 141731"
"TR02564",3899,"Multi-academy trust","MERCIA LEARNING TRUST","East Midlands and Humber",3,3,142,15.2,42.3,57.7,2.1,35.2,2,1,0,2,1,2,3,2,4,"5","3.5","6.6","1.6","0.3","3",1,3.2,2.2,4.2,"3.8","2.3","5.3","2.8","1.5","4.1","2","2.3","1.4","3.2","3","1.6","4.4","1.8","0.6","3",3,2,4,"5","3.5","6.6","1.6","0.3","3",3.2,2.2,4.2,"3.8","2.3","5.3","2.8","1.5","4.1","2.3","1.4","3.2","3","1.6","4.4","1.8","0.6","3.1","140596, 141339, 142274"
"TR01453",3931,"Multi-academy trust","MONTSAYE COMMUNITY LEARNING PARTNERSHIP","North West London and South Central",5,4,255,16.9,22.7,77.3,1.6,5.5,5,0,0,0,5,4,-1.6,-2.3,-0.8,"-1.3","-2.9","0.3","-1.7","-2.5","-0.8",4,-1.1,-1.8,-0.4,"-1.3","-2.8","0.2","-1.1","-1.9","-0.3","4","-1.6","-2.3","-0.9","-3.1","-4.5","-1.6","-1.2","-2","-0.4",-1.6,-2.3,-0.8,"-1.3","-2.9","0.3","-1.7","-2.5","-0.8",-1.2,-1.9,-0.4,"-1.3","-2.8","0.2","-1.1","-1.9","-0.3","-1.6","-2.3","-1","-3.2","-4.6","-1.7","-1.2","-2","-0.4","140054, 140059, 140073, 140074, 140094"
"TR01167",3952,"Multi-academy trust","MOWBRAY EDUCATION TRUST LIMITED","East Midlands and Humber",4,4,134,15.6,26.9,73.1,3,3,4,0,0,1,3,3,1,0,2,"-0.2","-2.2","1.7","1.4","0.2","2.6",2,2.2,1.3,3.2,"1.2","-0.6","3.1","2.6","1.4","3.7","2","1.4","0.5","2.3","1.4","-0.4","3.1","1.4","0.3","2.5",1,0,2.1,"-0.2","-2.3","1.8","1.4","0.2","2.6",2.2,1.2,3.2,"1.2","-0.7","3.1","2.6","1.4","3.7","1.4","0.5","2.4","1.4","-0.5","3.2","1.4","0.3","2.5","140696, 140702, 140754, 141469"
"TR01480",3965,"Multi-academy trust","NET ACADEMIES TRUST","East of England and North East London",6,6,239,15.3,37.7,62.3,2.1,27.2,0,6,0,4,2,4,-0.9,-1.7,-0.1,"-0.6","-1.9","0.7","-1.1","-2.1","-0.1",3,-0.7,-1.5,0.1,"-0.8","-2.1","0.4","-0.6","-1.5","0.4","4","-1.6","-2.3","-0.9","-2","-3.2","-0.8","-1.3","-2.3","-0.4",-1,-1.8,-0.2,"-0.7","-2","0.6","-1.2","-2.2","-0.1",-0.7,-1.5,0,"-1","-2.2","0.2","-0.6","-1.6","0.4","-1.7","-2.5","-1","-2.1","-3.3","-0.9","-1.5","-2.4","-0.5","139066, 140372, 141379, 141380, 141381, 141743"
"TR02982",4002,"Multi-academy trust","NICHOLAS POSTGATE CATHOLIC ACADEMY TRUST","North",4,4,135,16.4,24.4,75.6,2.2,1.5,4,0,0,4,0,2,2.1,1.1,3.1,"1.8","-0.2","3.9","2.2","1","3.4",2,1.9,0.9,2.9,"1.4","-0.5","3.4","2","0.9","3.1","3","0.3","-0.7","1.2","0.9","-0.9","2.8","0.1","-1","1.1",2.1,1.1,3.1,"1.8","-0.2","3.9","2.2","1","3.4",1.9,0.9,2.9,"1.4","-0.6","3.4","2","0.9","3.2","0.3","-0.7","1.2","0.9","-1","2.9","0.1","-1","1.1","141456, 141457, 141458, 142272"
"TR01053",4014,"Multi-academy trust","NORTH CARR COLLABORATIVE ACADEMY TRUST","East Midlands and Humber",3,3,130,15.8,63.1,36.9,1.5,6.2,2,1,0,0,3,2,2.9,1.9,3.9,"3.1","1.8","4.4","2.5","0.7","4.2",3,0.5,-0.5,1.5,"-0.2","-1.5","1","1.9","0.2","3.6","2","2.7","1.7","3.6","3.3","2.1","4.5","1.6","0","3.1",2.9,1.8,4,"3.1","1.8","4.4","2.5","0.7","4.2",0.5,-0.5,1.5,"-0.3","-1.5","1","1.9","0.2","3.6","2.7","1.7","3.6","3.3","2.1","4.5","1.6","0","3.1","139511, 139512, 140275"
"TR01523",4031,"Multi-academy trust","NORTHAMPTON PRIMARY ACADEMY TRUST","North West London and South Central",5,5,321,15.7,30.2,69.8,3.1,22.1,5,0,0,1,4,4,-1.7,-2.4,-1.1,"-1.9","-3.1","-0.7","-1.7","-2.5","-0.8",4,-0.8,-1.4,-0.1,"-0.7","-1.9","0.4","-0.8","-1.6","0","4","-1.2","-1.9","-0.6","-1.9","-3","-0.8","-1","-1.7","-0.2",-1.8,-2.5,-1.1,"-2","-3.2","-0.8","-1.7","-2.6","-0.9",-0.8,-1.5,-0.2,"-0.8","-1.9","0.4","-0.8","-1.7","0","-1.3","-1.9","-0.6","-1.9","-3","-0.8","-1","-1.8","-0.2","138952, 138953, 138954, 138955, 141921"
"TR01527",4036,"Multi-academy trust","NORTHERN EDUCATION TRUST","North",10,10,456,14.5,61.8,38.2,2.6,24.8,2,8,0,0,10,2,0.9,0.3,1.4,"0.7","0","1.4","1.2","0.2","2.1",2,1.3,0.7,1.8,"0.9","0.2","1.6","1.9","1","2.8","2","2.3","1.8","2.8","2","1.4","2.7","2.6","1.8","3.5",0.9,0.3,1.4,"0.7","0","1.4","1.2","0.2","2.1",1.3,0.7,1.8,"0.9","0.2","1.6","1.9","1","2.8","2.3","1.7","2.8","2","1.4","2.7","2.6","1.8","3.5","138399, 138675, 138995, 139229, 139270, 139959, 140072, 140172, 140519, 141189"
