"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_MATPTINC","NUMINST_FSM6CLA1A_MATPTINC","NUMINST_CONVERTER_MATPTINC","NUMINST_SPONSOR_MATPTINC","NUMINST_FREE_MATPTINC","NUMINST_3_MATPTINC","NUMINST_4PLUS_MATPTINC","TELIG_MATPTINC","PFSM6CLA1A_MATPTINC","PNOTFSM6CLA1A_MATPTINC","PEALGRP2_MATPTINC","PSEN_MATPTINC","PRWM_EXP_WGTAVG","PRWM_EXP_WGTAVG_FSM6CLA1A","PRWM_EXP_WGTAVG_NOTFSM6CLA1A","INSTITUTIONS_INMAT","NUMINST_INMAT","NUMINST_CONVERTER_INMAT","NUMINST_SPONSOR_INMAT","NUMINST_FREE_INMAT","TELIG_INMAT","PFSM6CLA1A_INMAT","PNOTFSM6CLA1A_INMAT"
202324,"AcademicYear","Multi-academy trust","THE BATH AND WELLS DIOCESAN ACADEMIES TRUST",2250,"TR00145",8207095,10060066,"South West","139205;139278;139324;139338;139934;140062;140456;141159;141162;141800;142402;142492;142563;143021;143100;143136;143621;143958;144984;145511;145512;145513;145515;145516;145517;145582;145583;145676;145716;147522;147523;147555;148516",33,31,22,11,0,1,32,1085,"24%","76%","9%","20%","60%","35%","69%","139205;139278;139324;139338;139934;140062;140456;141159;141162;141800;142402;142492;142563;143021;143100;143136;143621;143958;144984;145511;145512;145513;145515;145516;145517;145582;145583;145676;145716;147522;147523;147555;148516;149379;149833",35,23,12,0,1115,"24%","76%"
202324,"AcademicYear","Multi-academy trust","BECKFOOT TRUST",2270,"TR00163",8155088,10059960,"Yorkshire and the Humber","143092;143094;144890;146281",4,4,3,1,0,0,4,216,"37%","63%","38%","30%","67%","54%","74%","143092;143094;144890;146281",4,3,1,0,216,"37%","63%"
202324,"AcademicYear","Multi-academy trust","BEDFORDSHIRE SCHOOLS TRUST LIMITED",2275,"TR00167",7546141,10055198,"East of England","136713;137632;138021;140835;147081",5,5,3,1,1,0,5,631,"SUPPMAT","SUPPMAT","5%","21%","55%","SUPPMAT","SUPPMAT","136713;137632;138021;140835;147081",5,3,1,1,631,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","BELLEVUE PLACE EDUCATION TRUST",2288,"TR00178",7956784,10059611,"London","139775;140494;140495;140953;141750;141751;142012;142114",8,8,0,0,8,0,8,318,"33%","67%","38%","19%","75%","58%","83%","139775;140494;140495;140953;141750;141751;142012;142114;148800;149521",10,2,0,8,442,"27%","73%"
202324,"AcademicYear","Multi-academy trust","DIOCESE OF HEREFORD MULTI ACADEMY TRUST",2326,"TR00210",8762217,10060662,"West Midlands","140183;141180;142142;142448;143454;143455;143801;143974;144201;145275;145300;145672;145673",13,13,10,3,0,0,13,263,"23%","77%","10%","19%","61%","46%","66%","140183;141180;142142;142448;143454;143455;143801;143974;144201;145275;145300;145672;145673",13,10,3,0,263,"23%","77%"
202324,"AcademicYear","Multi-academy trust","ST FRANCIS AND ST CLARE CATHOLIC MULTI ACADEMY COMPANY",2328,"TR00211",8578428,10060502,"West Midlands","139800;139892;139893;139894;141769;141789;141827;147367;147630;148318",10,10,8,2,0,1,9,338,"51%","49%","30%","16%","63%","60%","67%","139800;139892;139893;139894;141769;141789;141827;147367;147630;148318",10,8,2,0,338,"51%","49%"
202324,"AcademicYear","Multi-academy trust","THE BISHOP KONSTANT CATHOLIC ACADEMY TRUST",2332,"TR00214",8253770,10060123,"Yorkshire and the Humber","138941;138945;138946;138947;138949;138958;140558;141594;141595;142155;148164;148166",12,12,11,1,0,2,10,319,"23%","77%","26%","20%","61%","46%","65%","138941;138945;138946;138947;138949;138958;140558;141594;141595;142155;148164;148166",12,11,1,0,319,"23%","77%"
202324,"AcademicYear","Multi-academy trust","THE BISHOP WHEELER CATHOLIC ACADEMY TRUST",2342,"TR00224",8399801,10060320,"Yorkshire and the Humber","139350;139352;139353;139354;139355;142004;142023;142159;142176;148381",10,10,8,2,0,1,9,311,"11%","89%","17%","16%","68%","38%","72%","139350;139352;139353;139354;139355;142004;142023;142159;142176;148381;148879",11,9,2,0,321,"12%","88%"
202324,"AcademicYear","Multi-academy trust","THE SEA VIEW TRUST",2350,"TR00233",8597962,10060518,"North West","140124;140128;140673",3,3,2,1,0,0,3,207,"43%","57%","19%","17%","63%","58%","67%","140124;140128;140673",3,2,1,0,207,"43%","57%"
202324,"AcademicYear","Multi-academy trust","BLESSED CHRISTOPHER WHARTON CATHOLIC ACADEMY TRUST",2353,"TR02681",9066969,10060816,"Yorkshire and the Humber","141059;141062;142945;142947;142951;143032;147922;147923;147924;147981;147982;148101;148102;148256;148258;148477",16,16,16,0,0,5,11,521,"32%","68%","32%","26%","61%","46%","67%","141059;141062;142945;142947;142951;143032;147922;147923;147924;147981;147982;148101;148102;148256;148258;148477;148478",17,17,0,0,545,"32%","68%"
