RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,202,4688,100056,William Ellis School,VA,1,0,3,2,11,-7,76,71%,1%,70%,18%,0%,74,72%,1,10,-8,3,0,0%,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,3,69%,SUPP,SUPP,SUPP,0%
3,202,4952,132838,LaSWAP Sixth Form,,NA,0,2,8,12,3,391,81%,1%,80%,30%,1%,375,81%,7,11,2,2,14,86%,46,71,20,1,2,SUPP,SUPP,SUPP,SUPP,3,79%,SUPP,78%,22%,SUPP
1,202,5401,100059,La Sainte Union Catholic Secondary School,VA,1,0,2,13,21,4,94,86%,1%,85%,36%,0%,94,86%,13,21,4,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,SUPP,SUPP,SUPP,0%
1,202,8045,130421,Capital City College Group,General Further Education College,0,0,2,12,13,10,2265,72%,1%,68%,12%,2%,1258,80%,9,11,6,2,133,60%,14,22,5,2,874,62%,17,20,13,2,71%,1%,68%,9%,2%
LA,202,,,,,,,NA,11,NA,NA,3222,76%,1%,73%,20%,2%,2196,82%,9,NA,NA,NA,150,63%,17,NA,NA,NA,876,62%,17,NA,NA,NA,77%,1%,74%,25%,1%
1,306,4002,140952,Harris Invictus Academy Croydon,F,1,0,3,12,24,0,45,80%,0%,78%,2%,2%,45,80%,12,23,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,0%,SUPP,SUPP,SUPP
1,306,4011,145197,Harris Professional Skills Sixth Form,F1619,0,0,1,17,31,2,34,68%,0%,68%,0%,0%,28,75%,22,36,7,1,6,33%,-8,31,-47,3,0,0%,NA,NA,NA,NA,72%,0%,72%,0%,0%
1,306,4031,138187,Woodcote High School,ACC,0,0,3,8,17,-1,76,82%,1%,80%,22%,0%,76,82%,8,17,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,77%,SUPP,SUPP,SUPP,0%
1,306,4600,101811,Archbishop Tenison's CofE High School,VA,0,0,3,10,20,0,65,82%,2%,75%,23%,5%,65,82%,10,19,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,SUPP,73%,20%,SUPP
3,306,4900,135416,Harris Federation Post 16,,NA,0,2,10,12,7,1021,80%,1%,78%,17%,1%,898,82%,9,11,6,2,123,67%,20,28,11,2,0,0%,NA,NA,NA,NA,83%,1%,80%,15%,2%
1,306,5400,138178,Riddlesdown Collegiate,ACC,0,0,3,5,12,-2,130,86%,2%,84%,42%,1%,130,86%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,88%,41%,SUPP
1,306,5402,138221,St Joseph's College,ACC,0,0,1,27,35,18,103,86%,0%,86%,22%,0%,58,86%,16,26,5,1,45,87%,43,57,28,1,0,0%,NA,NA,NA,NA,89%,0%,89%,11%,0%
1,306,5403,101821,Thomas More Catholic School,VA,0,0,2,16,28,3,45,80%,0%,78%,16%,2%,45,80%,16,27,4,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,306,5405,149347,Coloma Convent Girls' School,ACC,0,0,2,10,16,3,143,92%,1%,91%,35%,0%,143,92%,10,16,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,SUPP,SUPP,SUPP,0%
1,306,5406,137754,Norbury High School for Girls,ACC,0,0,3,12,23,0,55,87%,2%,82%,16%,4%,55,87%,12,22,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,SUPP,SUPP,SUPP,0%
1,306,5407,137772,Shirley High School Performing Arts College,ACC,0,0,1,23,33,12,69,83%,4%,77%,10%,1%,51,88%,22,33,10,1,0,0%,NA,NA,NA,NA,18,67%,27,49,4,2,95%,SUPP,90%,0%,SUPP
1,306,6900,101849,BRIT School for Performing Arts and Technology,CTC,0,0,3,4,7,0,451,62%,SP,59%,19%,4%,96,69%,-14,-5,-22,4,0,0%,NA,NA,NA,NA,355,61%,8,13,2,2,59%,SUPP,58%,15%,SUPP
1,306,6905,135249,Harris Academy South Norwood,AC,1,0,2,12,17,6,219,77%,SP,75%,15%,1%,176,79%,8,13,2,2,43,70%,27,41,12,2,0,0%,NA,NA,NA,NA,78%,SUPP,76%,13%,SUPP
1,306,6906,135311,Harris City Academy Crystal Palace,AC,1,0,3,7,13,0,171,81%,2%,78%,30%,1%,143,84%,5,11,-1,3,28,68%,19,37,0,3,0,0%,NA,NA,NA,NA,83%,SUPP,78%,28%,SUPP
1,306,6908,135955,Harris Academy Purley,AC,1,0,1,23,30,15,129,89%,2%,88%,15%,0%,128,90%,23,29,16,1,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,0%
1,306,6909,135968,Oasis Academy Shirley Park,AC,0,0,2,14,23,4,78,83%,0%,81%,29%,3%,78,83%,14,22,5,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,0%,93%,26%,0%
1,306,6910,136203,The Quest Academy,AC,0,0,2,16,28,3,46,89%,0%,89%,15%,0%,46,89%,16,27,4,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,0%,0%
1,306,8000,130432,Croydon College,General Further Education College,0,0,3,0,3,-3,473,60%,1%,57%,5%,1%,345,66%,0,4,-4,3,60,52%,8,20,-4,3,68,37%,-8,3,-19,3,58%,0%,55%,4%,3%
LA,306,,,,,,,NA,9,NA,NA,2332,75%,1%,72%,18%,2%,1708,80%,8,NA,NA,NA,183,66%,22,NA,NA,NA,441,57%,7,NA,NA,NA,75%,1%,72%,21%,2%
1,307,4000,139725,William Perkin Church of England High School,F,0,0,2,10,16,3,159,93%,1%,91%,42%,1%,159,93%,10,16,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,97%,SUPP,93%,41%,SUPP
1,307,4007,146318,Ark Acton Academy,AC,0,0,1,21,33,8,46,93%,0%,93%,41%,0%,46,93%,21,32,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,42%,0%
1,307,4020,101928,Villiers High School,FD,0,0,2,11,19,2,92,86%,1%,85%,26%,0%,76,87%,7,16,-2,3,0,0%,NA,NA,NA,NA,16,81%,32,56,7,1,92%,SUPP,SUPP,SUPP,0%
1,307,4030,145348,Dormers Wells High School,ACC,0,0,2,15,22,7,135,92%,1%,89%,22%,1%,135,92%,15,21,8,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,84%,11%,SUPP
1,307,4031,137729,Featherstone High School,ACC,0,0,1,17,22,11,202,90%,1%,86%,27%,2%,202,90%,17,22,11,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,98%,0%,93%,28%,5%
1,307,4036,131310,Elthorne Park High School,CY,0,0,2,10,17,2,139,84%,0%,83%,29%,1%,139,84%,10,16,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,SUPP,SUPP,SUPP
1,307,4602,137546,Twyford Church of England High School,ACC,0,0,3,3,8,-2,261,90%,1%,89%,64%,1%,261,90%,3,7,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,4%,83%,46%,0%
1,307,4603,101934,The Cardinal Wiseman Catholic School,VA,0,0,2,8,13,2,207,89%,3%,84%,35%,1%,207,89%,8,13,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,97%,9%,88%,26%,0%
1,307,5400,101939,Brentside High School,FD,0,0,3,7,15,-1,87,80%,0%,79%,38%,1%,87,80%,7,15,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,SUPP,SUPP,SUPP
1,307,5401,101940,Greenford High School,FD,0,0,2,10,15,4,203,86%,1%,82%,33%,2%,181,87%,8,13,2,2,0,0%,NA,NA,NA,NA,22,73%,28,48,7,1,88%,1%,85%,30%,1%
1,307,5402,101941,The Ellen Wilkinson School for Girls,FD,0,0,2,15,23,6,91,86%,1%,82%,23%,2%,91,86%,15,23,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,SUPP,82%,24%,SUPP
1,307,5403,137221,Drayton Manor High School,ACC,0,0,2,14,20,7,154,92%,1%,90%,36%,1%,154,92%,14,20,7,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,82%,30%,SUPP
1,307,5404,101943,Northolt High School,FD,0,0,2,15,26,3,48,73%,0%,60%,10%,13%,31,84%,16,30,1,1,0,0%,NA,NA,NA,NA,17,53%,12,35,-11,3,62%,0%,46%,8%,15%
1,307,6905,134369,Alec Reed Academy,AC,0,0,1,17,27,6,61,80%,2%,79%,15%,0%,61,80%,17,27,6,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,SUPP,SUPP,0%
LA,307,,,,,,,NA,11,NA,NA,1885,88%,1%,85%,35%,2%,1830,89%,11,NA,NA,NA,0,0%,NA,NA,NA,NA,55,69%,24,NA,NA,NA,88%,1%,85%,38%,1%
1,308,4001,139815,Ark John Keats Academy,F,0,0,3,6,15,-3,78,86%,0%,86%,41%,0%,78,86%,6,14,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,86%,40%,0%
1,308,4007,143197,Edmonton County School,ACC,0,0,2,15,25,4,68,84%,0%,81%,24%,3%,68,84%,15,24,5,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,73%,0%,73%,14%,0%
1,308,4015,136327,Kingsmead School,ACC,0,0,2,13,20,5,126,87%,2%,83%,25%,2%,126,87%,13,20,5,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,84%,23%,SUPP
1,308,4026,102045,Winchmore School,CY,0,0,2,11,17,4,172,76%,2%,73%,24%,1%,150,81%,13,19,6,2,21,43%,3,24,-18,3,1,SUPP,SUPP,SUPP,SUPP,3,78%,SUPP,76%,22%,SUPP
1,308,4029,142727,Southgate School,ACC,0,0,2,10,17,2,111,88%,0%,88%,35%,0%,111,88%,10,17,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,0%,79%,21%,0%
1,308,4030,102048,Enfield County School for Girls,CY,0,0,3,10,19,0,70,84%,0%,83%,29%,1%,70,84%,10,19,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,0%,SUPP,SUPP,SUPP
1,308,4037,102049,Chace Community School,CY,0,0,3,-4,5,-13,83,69%,1%,67%,11%,0%,83,69%,-4,4,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,74%,SUPP,SUPP,SUPP,0%
1,308,4038,144084,The Lea Valley Academy,ACC,0,0,1,21,32,9,52,87%,2%,81%,13%,4%,52,87%,21,31,10,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,SUPP,84%,5%,SUPP
1,308,4043,132256,Highlands School,CY,0,0,2,16,22,9,152,90%,1%,89%,30%,1%,152,90%,16,22,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,87%,SUPP,SUPP,SUPP,SUPP
1,308,4702,102052,Bishop Stopford's School,VA,0,0,1,37,66,7,8,100%,0%,88%,13%,13%,8,100%,37,64,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,308,4706,102053,St Anne's Catholic High School for Girls,VA,0,0,3,8,18,-2,59,88%,2%,81%,36%,5%,59,88%,8,18,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,81%,19%,SUPP
1,308,5400,102055,The Latymer School,VA,0,0,3,3,8,-2,212,95%,0%,94%,82%,1%,212,95%,3,8,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,92%,92%,0%
1,308,5403,102058,St Ignatius College,VA,0,0,1,19,28,9,74,93%,1%,92%,35%,0%,74,93%,19,28,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,SUPP,SUPP,0%
1,308,5404,137094,Enfield Grammar School,ACC,0,0,1,17,26,7,79,91%,4%,87%,33%,0%,79,91%,17,25,8,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,6%,94%,24%,0%
1,308,6905,134311,Oasis Academy Enfield,AC,0,0,3,14,28,0,32,78%,0%,78%,6%,0%,32,78%,14,27,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,0%,71%,SUPP,0%
1,308,6906,135958,Oasis Academy Hadley,AC,0,0,1,18,26,9,94,87%,0%,87%,33%,0%,94,87%,18,26,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,89%,37%,0%
1,308,6907,136147,Aylward Academy,AC,0,0,1,20,28,11,94,87%,1%,84%,18%,2%,87,87%,18,26,9,1,7,86%,43,79,6,1,0,0%,NA,NA,NA,NA,95%,SUPP,93%,19%,SUPP
1,308,8300,130438,Capel Manor College,Agriculture and Horticulture College,0,0,5,-24,-16,-31,138,22%,0%,19%,4%,3%,0,0%,NA,NA,NA,NA,125,24%,-22,-13,-30,4,13,0%,-46,-19,-72,5,20%,0%,16%,4%,4%
LA,308,,,,,,,NA,9,NA,NA,1702,81%,1%,79%,32%,1%,1535,87%,12,NA,NA,NA,153,29%,-16,NA,NA,NA,14,0%,-45,NA,NA,NA,82%,1%,80%,36%,1%
1,203,4000,138449,Harris Academy Greenwich,AC,0,0,3,7,15,-1,94,88%,5%,82%,26%,1%,94,88%,7,15,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,SUPP,88%,25%,SUPP
1,203,4006,143927,Royal Greenwich Trust School,F,0,0,1,20,31,8,54,70%,4%,67%,15%,0%,30,77%,18,32,3,1,24,63%,22,41,2,2,0,0%,NA,NA,NA,NA,73%,0%,73%,14%,0%
1,203,4007,145315,Leigh Academy Halley,AC,0,0,1,22,36,7,34,76%,0%,74%,3%,3%,29,76%,19,33,4,1,5,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,68%,0%,SUPP,SUPP,SUPP
1,203,4009,147439,The John Roan School,AC,0,0,2,13,23,2,66,77%,2%,76%,24%,0%,66,77%,13,22,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,76%,SUPP,SUPP,SUPP,0%
1,203,4077,100182,Eltham Hill School,CY,0,0,1,18,27,8,85,88%,2%,86%,20%,0%,80,88%,16,24,7,1,5,SUPP,SUPP,SUPP,SUPP,1,0,0%,NA,NA,NA,NA,92%,0%,92%,23%,0%
1,203,4130,100183,Plumstead Manor School,CY,0,0,2,16,23,8,125,83%,3%,78%,15%,2%,123,84%,16,23,8,1,1,SUPP,SUPP,SUPP,SUPP,3,1,SUPP,SUPP,SUPP,SUPP,3,83%,2%,80%,15%,0%
1,203,4250,141163,Woolwich Polytechnic School,ACC,0,0,1,18,24,11,176,91%,2%,88%,27%,1%,170,91%,16,22,9,1,0,0%,NA,NA,NA,NA,6,100%,53,92,13,1,92%,2%,90%,24%,0%
1,203,4271,141309,Leigh Stationers' Academy,ACC,0,0,3,3,10,-4,114,71%,3%,67%,8%,2%,114,71%,3,10,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,SUPP,59%,0%,SUPP
1,203,4294,100190,Thomas Tallis School,CY,0,0,3,4,8,0,281,76%,2%,74%,31%,1%,263,76%,1,5,-3,3,18,83%,40,62,17,1,0,0%,NA,NA,NA,NA,73%,0%,73%,27%,0%
1,203,4717,138966,Shooters Hill Sixth Form College,ACC1619,0,0,3,4,11,-3,123,59%,0%,59%,6%,0%,62,74%,9,19,-1,3,0,0%,NA,NA,NA,NA,61,44%,-1,11,-13,3,52%,0%,52%,0%,0%
LA,203,,,,,,,NA,10,NA,NA,1152,79%,2%,75%,21%,1%,1031,81%,10,NA,NA,NA,53,74%,31,NA,NA,NA,68,50%,5,NA,NA,NA,79%,3%,75%,22%,1%
1,204,4000,145609,Lubavitch House School (Senior Girls),ACC,0,0,5,-76,-55,-96,16,0%,0%,0%,0%,0%,16,0%,-76,-56,-95,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,4283,149901,Haggerston School,ACC,0,0,3,6,16,-4,59,85%,0%,83%,32%,2%,59,85%,6,16,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,SUPP,SUPP,SUPP
1,204,4302,137442,Clapton Girls' Academy,ACC,0,0,3,1,8,-6,114,80%,2%,78%,38%,0%,114,80%,1,8,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,72%,SUPP,SUPP,SUPP,0%
1,204,4310,100279,Stoke Newington School and Sixth Form,CY,0,0,3,6,11,0,195,84%,1%,81%,46%,2%,185,84%,5,10,0,3,1,SUPP,SUPP,SUPP,SUPP,3,9,78%,34,66,1,1,84%,0%,82%,34%,2%
1,204,4641,100282,All Saints Catholic High School,VA,0,0,2,12,21,2,80,85%,0%,83%,30%,3%,80,85%,12,20,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,SUPP,SUPP,SUPP
1,204,4697,100284,The Urswick School - A Church of England Secondary School,VA,0,0,3,11,23,-1,46,80%,2%,78%,33%,0%,46,80%,11,22,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,SUPP,SUPP,SUPP,0%
1,204,4714,100285,Cardinal Pole Catholic School,VA,0,0,1,23,31,14,92,90%,2%,87%,40%,1%,59,92%,13,23,2,2,0,0%,NA,NA,NA,NA,33,88%,40,56,23,1,90%,SUPP,86%,37%,SUPP
1,204,6905,134693,Mossbourne Community Academy,AC,0,0,3,4,10,-2,175,93%,1%,89%,61%,3%,175,93%,4,9,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,88%,55%,SUPP
1,204,6906,131062,The Excelsior Academy,AC,0,0,2,13,21,4,103,84%,0%,84%,22%,0%,103,84%,13,20,5,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,86%,20%,0%
1,204,6907,131609,The Bridge Academy,AC,0,0,2,11,19,2,99,85%,2%,81%,31%,2%,99,85%,11,18,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,SUPP,78%,29%,SUPP
1,204,6908,135835,"The City Academy, Hackney",AC,0,0,2,16,25,6,79,92%,6%,86%,30%,0%,79,92%,16,24,7,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,SUPP,SUPP,0%
1,204,6909,136137,Skinners' Academy,AC,0,0,2,14,25,2,55,82%,0%,82%,29%,0%,42,83%,9,21,-3,3,0,0%,NA,NA,NA,NA,13,77%,28,54,1,1,76%,0%,76%,21%,0%
LA,204,,,,,,,NA,9,NA,NA,1303,83%,1%,80%,35%,1%,1177,84%,7,NA,NA,NA,4,25%,-13,NA,NA,NA,122,71%,25,NA,NA,NA,84%,1%,81%,40%,1%
1,205,4000,136750,West London Free School,F,0,0,3,-4,3,-11,116,82%,1%,78%,47%,3%,116,82%,-4,3,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,SUPP,74%,37%,SUPP
1,205,4001,141135,The Fulham Boys School,F,0,0,3,10,26,-6,26,81%,0%,77%,38%,4%,26,81%,10,25,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,205,4106,139364,Fulham Cross Academy,ACC,0,0,5,-24,-7,-40,24,21%,0%,21%,4%,0%,6,0%,-52,-19,-84,5,7,14%,-26,10,-62,3,11,36%,-8,21,-37,3,SUPP,0%,SUPP,SUPP,0%
1,205,4320,133545,William Morris Sixth Form,CY,0,0,2,14,20,7,156,78%,1%,76%,12%,1%,147,79%,13,19,6,2,8,75%,30,64,-4,3,1,SUPP,SUPP,SUPP,SUPP,3,73%,SUPP,70%,9%,SUPP
1,205,4620,137935,Sacred Heart High School,ACC,0,0,3,8,18,-2,69,90%,1%,87%,57%,1%,69,90%,8,17,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,SUPP,SUPP,SUPP,SUPP
1,205,4632,138607,Lady Margaret School,ACC,0,0,3,9,18,0,77,95%,0%,95%,55%,0%,77,95%,9,17,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,36%,0%
1,205,5400,137157,The London Oratory School,ACC,0,0,3,5,11,-1,177,92%,1%,91%,73%,0%,177,92%,5,10,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,0%
1,205,6905,131752,Ark Burlington Danes Academy,AC,0,0,2,14,23,4,76,87%,1%,86%,47%,0%,76,87%,14,23,4,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,SUPP,SUPP,SUPP,0%
1,205,6906,136172,Hammersmith Academy,AC,0,0,2,14,22,5,103,89%,0%,88%,33%,1%,103,89%,14,21,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,0%,SUPP,SUPP,SUPP
1,205,8009,130408,"Ealing, Hammersmith and West London College",General Further Education College,0,0,2,8,14,1,190,54%,1%,51%,3%,3%,35,34%,-20,-6,-33,4,6,17%,-23,16,-62,3,149,60%,16,23,8,2,52%,SUPP,49%,SUPP,SUPP
LA,205,,,,,,,NA,7,NA,NA,1017,79%,1%,77%,36%,2%,835,84%,7,NA,NA,NA,21,38%,-4,NA,NA,NA,161,58%,14,NA,NA,NA,82%,1%,80%,44%,1%
1,309,4000,140935,Harris Academy Tottenham,F,0,0,3,8,21,-5,37,84%,0%,84%,24%,0%,37,84%,8,20,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,89%,22%,0%
1,309,4002,144753,London Academy of Excellence Tottenham,F1619,0,0,2,8,13,2,198,94%,1%,91%,67%,2%,198,94%,8,13,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,SUPP,90%,64%,SUPP
1,309,4030,102154,Highgate Wood Secondary School,CY,0,0,3,2,8,-4,142,83%,0%,83%,45%,0%,142,83%,2,8,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,0%,85%,33%,0%
1,309,4032,102156,Fortismere School,FD,0,0,2,10,15,4,233,88%,SP,88%,51%,SP,233,88%,10,15,4,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,SUPP,81%,35%,SUPP
1,309,4036,137531,Alexandra Park School,ACC,0,0,2,8,13,2,238,87%,1%,87%,42%,0%,235,87%,7,12,1,2,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,86%,0%,86%,29%,0%
1,309,4703,139362,St Thomas More Catholic School,ACC,0,0,1,17,25,8,93,88%,1%,85%,20%,2%,93,88%,17,25,8,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,SUPP,88%,15%,SUPP
1,309,4704,139363,Haringey Sixth Form College,ACC1619,0,0,1,19,24,13,215,73%,SP,73%,7%,0%,109,80%,15,22,7,2,2,SUPP,SUPP,SUPP,SUPP,3,104,66%,23,32,13,2,65%,SUPP,SUPP,SUPP,0%
1,309,6905,133386,Greig City Academy,AC,0,0,1,21,29,12,89,84%,0%,80%,18%,4%,88,84%,20,28,11,1,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,87%,0%,SUPP,SUPP,SUPP
LA,309,,,,,,,NA,11,NA,NA,1294,85%,2%,83%,37%,1%,1184,87%,10,NA,NA,NA,5,80%,37,NA,NA,NA,105,67%,24,NA,NA,NA,87%,2%,84%,43%,1%
1,310,4000,138227,Avanti House School,F,0,0,2,15,23,6,94,95%,4%,86%,48%,4%,94,95%,15,23,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,0%,67%,17%,0%
1,310,4020,137204,Hatch End High School,ACC,1,0,1,20,27,12,114,89%,1%,87%,32%,2%,114,89%,20,27,12,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,88%,29%,SUPP
1,310,4021,137075,Park High School,ACC,1,0,1,21,29,12,87,92%,0%,91%,25%,1%,87,92%,21,29,12,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,SUPP,SUPP,SUPP
1,310,4022,137199,Canons High School,ACC,1,0,2,13,20,5,129,81%,2%,79%,22%,1%,124,84%,15,22,7,2,0,0%,NA,NA,NA,NA,5,SUPP,SUPP,SUPP,SUPP,3,86%,0%,SUPP,SUPP,SUPP
1,310,4024,137028,Nower Hill High School,ACC,1,0,2,9,14,3,202,91%,2%,88%,45%,1%,202,91%,9,14,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,95%,0%,95%,35%,0%
1,310,4026,102239,Whitmore High School,CY,1,0,2,9,14,3,195,85%,1%,85%,27%,0%,195,85%,9,14,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,SUPP,SUPP,SUPP,0%
1,310,4027,137198,Rooks Heath School,ACC,1,0,3,7,16,-2,75,76%,0%,76%,16%,0%,75,76%,7,16,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,0%,84%,0%,0%
1,310,4032,137178,Bentley Wood High School,ACC,1,0,3,9,17,0,86,86%,2%,80%,31%,3%,86,86%,9,17,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,SUPP,86%,21%,SUPP
1,310,4033,137177,Harrow High School,ACC,1,0,1,19,31,6,46,96%,0%,93%,28%,2%,46,96%,19,30,7,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,SUPP,SUPP,SUPP
3,310,4900,135469,Harrow Collegiate,,NA,0,2,13,15,10,934,87%,1%,85%,30%,1%,929,87%,13,15,10,2,0,0%,NA,NA,NA,NA,5,SUPP,SUPP,SUPP,SUPP,3,89%,1%,87%,22%,1%
1,310,8002,130440,Stanmore College,General Further Education College,0,0,2,11,15,6,367,55%,1%,50%,4%,5%,23,87%,29,45,12,1,13,54%,11,37,-15,3,331,53%,10,15,4,2,61%,SUPP,60%,3%,SUPP
1,310,8600,130443,St Dominic's Sixth Form College,Sixth Form College,0,0,2,9,12,5,647,93%,2%,90%,47%,1%,609,94%,9,12,5,2,0,0%,NA,NA,NA,NA,38,71%,21,36,5,2,95%,1%,93%,35%,1%
LA,310,,,,,,,NA,11,NA,NA,2042,83%,1%,80%,32%,2%,1655,90%,12,NA,NA,NA,13,54%,11,NA,NA,NA,374,54%,11,NA,NA,NA,84%,2%,80%,35%,2%
