RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,343,4001,141338,St Michael's Church of England High School,AC,0,0,3,-14,0,-28,33,58%,3%,52%,12%,3%,33,58%,-14,0,-27,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,SUPP,67%,11%,SUPP
1,343,4100,137533,Deyes High School,ACC,0,0,3,-3,5,-11,107,67%,7%,60%,25%,0%,103,70%,-2,5,-9,3,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,71%,0%,71%,14%,0%
1,343,4101,137436,Formby High School,ACC,0,0,3,-4,4,-12,100,74%,1%,72%,34%,1%,100,74%,-4,3,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,63%,SUPP,SUPP,SUPP,SUPP
1,343,4105,137514,Chesterfield High School,ACC,0,0,3,6,17,-5,54,78%,2%,76%,22%,0%,52,77%,4,14,-6,3,2,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,75%,SUPP,SUPP,SUPP,0%
1,343,4106,137612,Range High School,ACC,0,0,3,7,17,-3,66,85%,5%,80%,38%,0%,66,85%,7,16,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,343,4113,137520,Maghull High School,ACC,0,0,3,-5,5,-15,68,62%,1%,59%,15%,1%,68,62%,-5,4,-14,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,SUPP,SUPP,SUPP,SUPP
1,343,4621,104960,Maricourt Catholic High School,VA,0,0,3,6,15,-3,78,77%,1%,76%,21%,0%,65,80%,4,13,-5,3,13,62%,14,40,-12,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,343,4624,104962,Holy Family Catholic High School,VA,0,0,3,8,18,-2,64,72%,2%,70%,11%,0%,37,86%,9,21,-3,3,0,0%,NA,NA,NA,NA,27,52%,6,24,-12,3,82%,SUPP,SUPP,SUPP,0%
1,343,4800,104964,Christ The King Catholic High School and Sixth Form Centre,VA,0,0,4,-16,-5,-26,60,57%,2%,55%,17%,0%,60,57%,-16,-5,-26,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,343,8000,130490,Hugh Baird College,General Further Education College,0,0,3,-3,1,-7,289,57%,1%,54%,13%,2%,202,68%,1,6,-4,3,35,40%,-3,13,-19,3,52,27%,-17,-3,-30,4,58%,0%,56%,10%,2%
1,343,8001,130491,Southport Education Group,General Further Education College,0,0,3,-4,0,-8,304,59%,0%,53%,12%,6%,178,66%,-7,-1,-12,4,22,55%,6,26,-14,3,104,47%,-1,8,-10,3,49%,0%,41%,3%,8%
LA,343,,,,,,,NA,-1,NA,NA,1329,66%,2%,62%,19%,2%,1061,71%,-1,NA,NA,NA,85,48%,3,NA,NA,NA,183,42%,-4,NA,NA,NA,67%,2%,63%,21%,2%
1,344,4001,143554,"St Mary's Catholic College, A Voluntary Academy",AC,0,0,3,-11,1,-23,42,55%,0%,55%,24%,0%,42,55%,-11,1,-23,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,60%,0%,60%,20%,0%
1,344,4003,146315,Co-op Academy Bebington,AC,0,0,3,-10,4,-24,33,48%,0%,48%,3%,0%,23,48%,-16,0,-32,3,5,SUPP,SUPP,SUPP,SUPP,3,5,SUPP,SUPP,SUPP,SUPP,3,40%,0%,40%,SUPP,0%
1,344,4052,137171,Wirral Grammar School for Girls,ACC,0,0,3,4,11,-3,139,93%,1%,89%,58%,3%,139,93%,4,10,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4056,137243,West Kirby Grammar School,ACC,0,0,3,5,11,-1,163,90%,4%,85%,58%,1%,163,90%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,33%,0%
