TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202324,Academic year,Multi-academy trust,The Ted Wragg Multi Academy Trust,4909,TR02247,8545109,10060466,South West,136142;136646;139682;141514;142805;145404;147401;147967,8,2,6,0,0,0,8,2,2,4,1282,103.9,24%,76%,10%,23%,46.3,95%,0.08,0,0.16,48%,4.28,21%,33%,65%,36.5,-0.47,-0.63,-0.31,28%,3.26,8%,17%,48%,49.4,0.26,0.17,0.36,55%,4.6,25%,38%,70%,Average,136142;136646;136668;136912;139682;141514;142805;145404;147401;147967;149602,11,5,6,0,0,0,1725,24%,76%
202324,Academic year,Multi-academy trust,Sherborne Area Schools' Trust,16706,TR02267,8130468,10059883,South West,138471;140898;147016,3,2,1,0,0,0,3,0,1,2,454,104.6,24%,76%,8%,13%,45.1,96%,-0.2,-0.33,-0.07,41%,3.98,17%,23%,32%,36.3,-0.6,-0.87,-0.33,24%,3.17,9%,13%,25%,47.8,-0.08,-0.23,0.07,46%,4.24,19%,26%,35%,Below average,138471;140898;147016;149657,4,3,1,0,0,0,561,24%,76%
202324,Academic year,Multi-academy trust,The Thinking Schools Academy Trust,5049,TR02276,7359755,10058356,South East,136108;136313;136594;139714;146624;148369,6,3,3,0,0,0,6,1,0,5,1025,106.6,27%,73%,24%,10%,48,94%,-0.3,-0.39,-0.21,52%,4.36,24%,32%,52%,35.7,-0.81,-0.98,-0.64,27%,3.15,12%,17%,35%,52.8,-0.09,-0.19,0.02,61%,4.83,28%,37%,58%,Below average,136108;136313;136556;136594;137755;138863;139714;146624;148369;149899,10,7,3,0,0,0,1753,25%,75%
202324,Academic year,Multi-academy trust,Lincolnshire Gateway Academies Trust,5079,TR02302,8085503,10059809,Yorkshire and the Humber,136192;136268;142392;144968,4,1,3,0,0,0,4,0,0,4,801,104.1,26%,74%,6%,13%,44.5,97%,-0.1,-0.2,0,37%,3.79,8%,13%,23%,37.6,-0.37,-0.57,-0.18,23%,3.13,3%,4%,15%,47,0,-0.11,0.12,42%,4.03,9%,16%,26%,Average,136192;136268;142392;144968,4,1,3,0,0,0,801,26%,74%
202324,Academic year,Multi-academy trust,Nova Education Trust,5084,TR02306,7635510,10055362,East Midlands,135761;136878;138411;140984;141010;144489;144687;144768;146374,9,3,3,3,0,0,9,0,0,9,1486,103.9,29%,71%,12%,10%,45.8,94%,-0.06,-0.13,0.02,45%,4.05,16%,22%,38%,33.3,-0.71,-0.84,-0.57,19%,2.83,4%,6%,22%,51.1,0.23,0.14,0.32,56%,4.56,20%,29%,45%,Average,135761;136878;138411;140984;141010;144489;144687;144768;146374,9,3,3,3,0,0,1486,29%,71%
202324,Academic year,Multi-academy trust,Ambitions Academies Trust,2128,TR02316,7977940,10059666,South West,136206;138385;139037;147214;147291,5,2,2,0,1,0,5,0,0,5,679,102.9,35%,65%,11%,20%,39.2,93%,-0.41,-0.52,-0.3,33%,3.38,9%,13%,25%,31.8,-0.83,-1.02,-0.65,21%,2.69,3%,5%,17%,43.1,-0.17,-0.31,-0.03,39%,3.74,12%,17%,29%,Below average,136206;138385;139037;147214;147291,5,2,2,0,1,0,679,35%,65%
202324,Academic year,Multi-academy trust,Tudor Grange Academies Trust,5128,TR02332,7365748,10058359,West Midlands,135913;136310;137161;140731;144479;146379,6,3,3,0,0,0,6,0,0,6,1062,105,26%,74%,9%,18%,46,94%,-0.21,-0.3,-0.12,47%,4.18,19%,28%,48%,31.1,-1.15,-1.32,-0.98,22%,2.72,5%,9%,20%,51.1,0.12,0.02,0.23,56%,4.69,23%,35%,57%,Below average,135913;136310;137161;140731;144479;146379,6,3,3,0,0,0,1062,26%,74%
202324,Academic year,Multi-academy trust,Twyford Church Of England Academies Trust,5132,TR02337,7648968,10058781,London,137546;139725;142654;145724,4,1,0,3,0,0,4,0,0,4,641,107,17%,83%,28%,10%,63.3,96%,1.11,1,1.23,73%,6.09,59%,73%,86%,53.3,0.69,0.42,0.97,52%,5.03,37%,54%,71%,65.3,1.2,1.08,1.32,78%,6.32,64%,78%,89%,Well above average,137546;139725;142654;145724,4,1,0,3,0,0,641,17%,83%
202324,Academic year,Multi-academy trust,Blackdown Education Partnership,5141,TR02342,7338835,10058321,South West,136287;136295;144392,3,2,1,0,0,0,3,0,0,3,548,104.3,20%,80%,6%,15%,46.5,95%,0.02,-0.1,0.14,48%,3.96,9%,15%,20%,36,-0.74,-1.02,-0.46,31%,3.01,4%,4%,12%,49.2,0.21,0.07,0.34,53%,4.2,11%,17%,23%,Average,136287;136295;136916;140416;144392,5,3,2,0,0,0,921,19%,81%
202324,Academic year,Multi-academy trust,United Learning Trust,5143,TR02343,4439859,10037395,North West,130912;131749;131895;131896;132727;134224;134814;134815;135071;135262;135296;135364;135365;135620;135621;135649;135760;135962;135966;136551;136636;136650;137782;138193;139258;139664;140007;140008;140265;140515;140679;140962;141617;142073;144356;144502;145034;145313;145372;146276;146793;147439;147467;148003;148393,45,9,33,2,0,1,45,2,1,42,7493,103.5,34%,66%,30%,17%,47.9,91%,0.26,0.22,0.29,51%,4.34,23%,31%,47%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,Above average,130912;131749;131895;131896;132727;134224;134814;134815;135071;135262;135296;135364;135365;135620;135621;135649;135760;135962;135966;136551;136636;136650;137087;137782;138193;139258;139664;140007;140008;140265;140515;140679;140962;141617;142073;144356;144502;145034;145313;145372;146276;146793;147439;147467;148003;148393;149543;149632;150038,49,13,33,2,0,1,8304,33%,67%
