TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202324,Academic year,Multi-academy trust,Abbey Multi Academy Trust,2046,TR00002,7705552,10059141,Yorkshire and the Humber,137036;137083;144809,3,1,2,0,0,0,3,0,0,3,611,103.9,29%,71%,23%,11%,47,92%,0.14,0.02,0.25,46%,4.08,13%,21%,38%,35.7,-0.39,-0.6,-0.17,28%,3.02,3%,9%,24%,51.5,0.34,0.2,0.48,53%,4.51,17%,26%,43%,Above average,137036;137083;144809,3,1,2,0,0,0,611,29%,71%
202324,Academic year,Multi-academy trust,Academies Enterprise Trust,2053,TR00008,6625091,10033736,East of England,133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334,21,2,19,0,0,0,21,0,0,21,3948,103.1,35%,65%,16%,18%,40.6,92%,-0.35,-0.4,-0.3,37%,3.51,9%,15%,34%,32.4,-0.77,-0.85,-0.69,23%,2.77,4%,8%,28%,45,-0.12,-0.18,-0.07,45%,3.91,12%,19%,38%,Below average,133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334,21,2,19,0,0,0,3948,35%,65%
202324,Academic year,Multi-academy trust,Academy Transformation Trust,2062,TR00015,7846852,10039859,East of England,138918;139043;139058;139062;139063;139288;139578;139867;139937;142594,10,4,6,0,0,0,10,0,0,10,1659,102.5,30%,70%,15%,15%,39.9,95%,-0.3,-0.37,-0.23,31%,3.58,13%,22%,54%,31.5,-0.68,-0.81,-0.55,17%,2.76,7%,13%,39%,43.6,-0.13,-0.22,-0.05,37%,3.93,16%,26%,60%,Below average,138918;139043;139058;139062;139063;139288;139578;139867;139937;142594,10,4,6,0,0,0,1659,30%,70%
202324,Academic year,Multi-academy trust,The Active Learning Trust Limited,2075,TR00024,7903002,10059514,East of England,138177;138373;139272,3,1,2,0,0,0,3,0,0,3,668,102.1,29%,71%,7%,15%,37.1,97%,-0.51,-0.62,-0.4,33%,3.24,7%,12%,29%,27.2,-0.95,-1.15,-0.75,17%,2.38,4%,6%,24%,41.2,-0.33,-0.46,-0.2,40%,3.59,8%,15%,31%,Well below average,138177;138373;139272,3,1,2,0,0,0,668,29%,71%
202324,Academic year,Multi-academy trust,Education Partnership Trust,3016,TR00059,7950891,10059591,North West,138233;141028;142088,3,0,1,2,0,0,3,0,2,1,443,102.8,33%,67%,17%,12%,43.1,93%,-0.04,-0.18,0.1,40%,3.86,12%,20%,49%,38.2,-0.33,-0.57,-0.09,29%,3.4,7%,13%,42%,45.3,0.1,-0.07,0.26,46%,4.07,14%,23%,53%,Average,138233;141028;142088,3,0,1,2,0,0,443,33%,67%
202324,Academic year,Multi-academy trust,Arden Multi Academy Trust,5671,TR00078,7375267,10058364,West Midlands,135971;136333;136991;137008,4,3,1,0,0,0,4,0,0,4,863,105,21%,79%,8%,15%,50.3,96%,0.24,0.14,0.33,53%,4.38,23%,29%,41%,38.1,-0.49,-0.69,-0.28,24%,3.18,9%,15%,28%,53.7,0.43,0.33,0.54,60%,4.7,26%,33%,44%,Above average,135971;136333;136991;137008,4,3,1,0,0,0,863,21%,79%
202324,Academic year,Multi-academy trust,Ark Schools,2157,TR00081,5112090,10044534,London,131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061,21,1,15,5,0,0,21,0,0,21,3262,103.3,49%,51%,46%,19%,46.6,91%,0.19,0.14,0.24,48%,4.33,23%,35%,64%,42.2,-0.02,-0.09,0.05,39%,3.88,17%,26%,58%,50.8,0.39,0.32,0.46,56%,4.77,28%,43%,69%,Above average,131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061,21,1,15,5,0,0,3262,49%,51%
202324,Academic year,Multi-academy trust,Consilium Academies,15728,TR00082,9495671,10061209,North East,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,0,0,8,0,0,8,1201,103.3,40%,60%,17%,19%,37.7,92%,-0.72,-0.81,-0.64,28%,3.14,5%,8%,15%,28.8,-1.13,-1.27,-1,13%,2.39,2%,6%,14%,43.6,-0.44,-0.55,-0.34,38%,3.63,6%,9%,16%,Well below average,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,0,0,1201,40%,60%
202324,Academic year,Multi-academy trust,The Arthur Terry Learning Partnership,2166,TR00089,7730920,10034759,West Midlands,136986;138136;138137;144721;146493,5,4,1,0,0,0,5,0,0,5,912,104.7,32%,68%,9%,17%,43.4,96%,-0.37,-0.46,-0.28,41%,3.94,19%,30%,50%,32.4,-0.81,-0.97,-0.64,20%,2.85,6%,12%,38%,48.8,-0.16,-0.27,-0.04,51%,4.46,25%,38%,57%,Below average,136986;137209;138136;138137;144721;146493,6,5,1,0,0,0,1116,33%,67%
202324,Academic year,Multi-academy trust,The Two Counties Trust,16093,TR00097,7972029,10059639,East Midlands,137158;137981;142725;142741;144391;145109;145966;146451;147400,9,7,2,0,0,0,9,0,1,8,1956,103.7,28%,72%,4%,15%,42,97%,-0.33,-0.39,-0.26,39%,3.68,12%,19%,36%,31.3,-0.85,-0.97,-0.73,19%,2.66,4%,8%,21%,46.1,-0.13,-0.2,-0.05,47%,4.07,15%,23%,41%,Below average,137158;137981;142725;142741;144391;145109;145966;146451;147400,9,7,2,0,0,0,1956,28%,72%
202324,Academic year,Multi-academy trust,Aspirations Academies Trust,2186,TR00103,7867577,10059468,London,137009;138499;139711;140886;142126;145119;145121;147443,8,1,5,0,2,0,8,0,0,8,1041,103.7,29%,71%,20%,20%,41,92%,-0.42,-0.5,-0.33,36%,3.75,10%,20%,55%,31.9,-1.03,-1.19,-0.87,23%,2.89,6%,12%,39%,44.8,-0.15,-0.25,-0.04,41%,4.11,12%,23%,62%,Below average,137009;138499;139711;140886;142126;145119;145121;147443,8,1,5,0,2,0,1041,29%,71%
202324,Academic year,Multi-academy trust,Aston Community Education Trust,2195,TR00105,7577113,10058668,Yorkshire and the Humber,136127;136718;143141,3,1,2,0,0,0,3,0,0,3,643,103.4,26%,74%,7%,20%,41.7,97%,-0.28,-0.39,-0.17,42%,3.66,12%,22%,49%,30.9,-0.81,-1.02,-0.59,21%,2.62,4%,8%,25%,45.5,-0.09,-0.22,0.04,50%,4.04,15%,26%,58%,Below average,136127;136718;143141,3,1,2,0,0,0,643,26%,74%
202324,Academic year,Multi-academy trust,Matrix Academy Trust,3878,TR00136,7654219,10053216,West Midlands,136885;137274;137771;143438;148521,5,3,2,0,0,0,5,1,0,4,883,103.2,38%,62%,14%,13%,44.9,96%,0.05,-0.05,0.14,46%,4.13,21%,36%,64%,37,-0.29,-0.45,-0.14,27%,3.26,11%,20%,50%,49.8,0.26,0.14,0.38,58%,4.67,27%,46%,73%,Average,136885;137274;137771;141245;143438;148521;149635,7,4,3,0,0,0,1146,39%,61%
202324,Academic year,Multi-academy trust,Batley Multi Academy Trust,15729,TR00147,7732537,10059240,Yorkshire and the Humber,137424;137487;142406,3,1,1,1,0,0,3,0,1,2,551,103.6,30%,70%,54%,11%,46,97%,0.08,-0.04,0.2,45%,4.15,17%,26%,45%,38.1,-0.28,-0.5,-0.07,32%,3.37,10%,15%,30%,49.5,0.24,0.1,0.38,50%,4.49,20%,31%,52%,Average,137424;137487;142406,3,1,1,1,0,0,551,30%,70%
202324,Academic year,Multi-academy trust,Lionheart Educational Trust,3760,TR00158,8473899,10055191,East Midlands,137799;137828;139624;140787;145558;146108,6,5,1,0,0,0,6,0,0,6,1318,105.8,19%,81%,21%,12%,49.9,93%,0.05,-0.03,0.13,53%,4.68,28%,41%,79%,39,-0.44,-0.62,-0.26,33%,3.63,17%,26%,63%,52.3,0.17,0.08,0.25,58%,4.92,31%,44%,83%,Average,137799;137828;138301;138478;139624;140787;145558;146108,8,7,1,0,0,0,1660,19%,81%
202324,Academic year,Multi-academy trust,Beckfoot Trust,2270,TR00163,8155088,10059960,Yorkshire and the Humber,139975;142031;143112;143114,4,1,3,0,0,0,4,0,0,4,960,102.9,32%,68%,24%,23%,39.8,96%,-0.31,-0.4,-0.22,35%,3.54,13%,21%,45%,29.4,-0.92,-1.08,-0.76,17%,2.58,6%,10%,35%,44.8,-0.03,-0.14,0.08,44%,4,17%,26%,49%,Below average,139975;142031;143112;143114,4,1,3,0,0,0,960,32%,68%
202324,Academic year,Multi-academy trust,The Bishop Konstant Catholic Academy Trust,2332,TR00214,8253770,10060123,Yorkshire and the Humber,138950;138951;148167,3,3,0,0,0,0,3,1,0,2,505,104,18%,82%,19%,17%,46.5,97%,0.02,-0.1,0.15,48%,4.17,20%,26%,39%,31.5,-0.7,-1,-0.41,22%,2.69,2%,5%,18%,49.9,0.19,0.05,0.32,54%,4.5,24%,31%,44%,Average,138950;138951;148167,3,3,0,0,0,0,505,18%,82%
202324,Academic year,Multi-academy trust,St Thomas Aquinas Catholic Multi Academy Trust,2354,TR00235,8090890,10059818,East Midlands,138290;138298;146196;146232,4,4,0,0,0,0,4,0,0,4,753,105.2,15%,85%,30%,13%,52.4,96%,0.43,0.32,0.53,57%,4.65,22%,29%,39%,41.9,-0.09,-0.35,0.17,39%,3.62,13%,18%,27%,54.2,0.52,0.41,0.63,60%,4.83,23%,31%,41%,Above average,138290;138298;146196;146232,4,4,0,0,0,0,753,15%,85%
202324,Academic year,Multi-academy trust,Archway Learning Trust,2363,TR00242,7875164,10052837,East Midlands,136716;137798;139765;140369;143934;145146;148538,7,5,2,0,0,0,7,3,0,4,1289,103.2,44%,56%,20%,21%,41.6,96%,-0.3,-0.38,-0.22,35%,3.5,9%,13%,21%,34.8,-0.65,-0.77,-0.53,22%,2.9,6%,9%,17%,47.1,-0.01,-0.11,0.1,46%,3.98,12%,17%,23%,Below average,136716;137798;139765;140369;143934;145146;148538,7,5,2,0,0,0,1289,44%,56%
202324,Academic year,Multi-academy trust,Bohunt Education Trust,2368,TR00246,7535642,10058531,South East,136643;136903;138287;140424;141175;142181;147187;148221,8,4,3,1,0,0,8,1,0,7,1962,105.5,14%,86%,8%,14%,50,93%,0.12,0.05,0.18,53%,4.6,27%,39%,60%,35.1,-0.74,-0.91,-0.56,23%,3.09,7%,14%,35%,52.4,0.26,0.19,0.33,58%,4.84,30%,43%,64%,Above average,136643;136903;138287;140424;141175;142181;147187;148221,8,4,3,1,0,0,1962,14%,86%
202324,Academic year,Multi-academy trust,The Chelmsford Learning Partnership,2377,TR00254,7907388,10059519,East of England,137874;145597;145916,3,2,0,1,0,0,3,0,0,3,646,104.6,17%,83%,11%,11%,48.4,96%,0.1,-0.01,0.21,50%,4.42,27%,37%,54%,31.9,-0.85,-1.12,-0.58,26%,2.84,8%,16%,31%,51.7,0.3,0.18,0.42,55%,4.74,31%,42%,59%,Average,137874;145597;145916,3,2,0,1,0,0,646,17%,83%
202324,Academic year,Multi-academy trust,Life Multi-Academy Trust,16430,TR00255,7992438,10059702,East Midlands,137969;138350;138721;143844;147902;148549,6,6,0,0,0,0,6,3,1,2,1120,104.7,19%,81%,8%,13%,43.3,98%,-0.35,-0.44,-0.27,45%,3.94,17%,27%,53%,31.3,-1.07,-1.26,-0.88,23%,2.79,5%,13%,39%,46.3,-0.18,-0.27,-0.08,51%,4.22,20%,31%,56%,Below average,137969;138350;138721;143844;147902;148549,6,6,0,0,0,0,1120,19%,81%
202324,Academic year,Multi-academy trust,Anglian Learning,16031,TR00257,7564749,10058649,East of England,136442;136677;136775;137427;138734;142035,6,5,1,0,0,0,6,0,2,4,1108,105.8,15%,85%,8%,12%,51.5,95%,0.16,0.08,0.25,55%,4.7,28%,33%,43%,32.8,-0.73,-0.95,-0.5,19%,2.83,4%,9%,18%,54.8,0.32,0.23,0.41,61%,5.03,32%,38%,47%,Above average,136442;136677;136775;137427;138734;142035,6,5,1,0,0,0,1108,15%,85%
202324,Academic year,Multi-academy trust,Bourne Education Trust,2386,TR00263,7768726,10059305,South East,137595;138460;138765;139948;143419;143420;144741;145125,8,3,4,1,0,0,8,2,1,5,1305,104.9,23%,77%,17%,14%,45.9,89%,-0.23,-0.31,-0.15,44%,4.07,17%,26%,41%,34.3,-0.8,-0.96,-0.63,21%,2.89,6%,10%,23%,49.3,-0.04,-0.14,0.05,51%,4.41,20%,31%,46%,Below average,137595;138460;138765;139948;143419;143420;144741;145125,8,3,4,1,0,0,1305,23%,77%
202324,Academic year,Multi-academy trust,South Lincolnshire Academies Trust,16247,TR00265,7559187,10058617,East Midlands,137572;144488;148185,3,2,1,0,0,0,3,0,1,2,666,101.6,24%,76%,18%,17%,45.3,96%,0.44,0.33,0.55,34%,3.63,6%,9%,14%,37.8,0.09,-0.14,0.32,21%,3,1%,4%,11%,47.5,0.54,0.42,0.67,38%,3.82,7%,11%,15%,Above average,137572;144488;148185;149436,4,2,2,0,0,0,793,25%,75%
202324,Academic year,Multi-academy trust,Bradford Diocesan Academies Trust,2408,TR00278,8258994,10060130,Yorkshire and the Humber,138087;140429;142590;142825,4,2,2,0,0,0,4,0,0,4,950,102.8,40%,60%,18%,17%,38.2,95%,-0.5,-0.59,-0.41,30%,3.29,11%,19%,37%,29.3,-0.98,-1.12,-0.83,16%,2.47,6%,11%,31%,44.1,-0.18,-0.3,-0.06,39%,3.83,14%,24%,42%,Below average,138087;140204;140429;142590;142825,5,2,2,1,0,0,1064,39%,61%
202324,Academic year,Multi-academy trust,Bridgwater & Taunton College Trust,2434,TR00296,8098956,10059829,South West,136791;137080;138375;139655,4,2,2,0,0,0,4,0,1,3,565,102.8,23%,77%,6%,24%,38.3,95%,-0.43,-0.55,-0.31,33%,3.33,5%,10%,36%,30.3,-0.78,-1.02,-0.53,15%,2.63,2%,8%,39%,40.8,-0.32,-0.46,-0.18,38%,3.54,6%,11%,35%,Below average,136791;137080;138375;139655,4,2,2,0,0,0,565,23%,77%
202324,Academic year,Multi-academy trust,Bright Futures Educational Trust,2437,TR00298,7695771,10046414,North West,137289;138097;140021,3,1,2,0,0,0,3,0,0,3,521,106.7,40%,60%,32%,16%,49.1,76%,-0.33,-0.47,-0.19,48%,4.74,42%,45%,63%,28.5,-1.35,-1.57,-1.13,14%,2.62,11%,15%,41%,63,0.39,0.21,0.57,70%,6.16,63%,65%,77%,Below average,137289;138097;140021,3,1,2,0,0,0,521,40%,60%
202324,Academic year,Multi-academy trust,Cathedral Schools Trust,16026,TR00307,6516626,10058233,South West,135575;142853;147072,3,1,1,1,0,0,3,0,0,3,435,105.2,23%,77%,22%,15%,51.6,95%,0.3,0.16,0.44,55%,4.51,18%,24%,31%,41.1,-0.02,-0.3,0.27,35%,3.49,4%,11%,20%,54.8,0.4,0.24,0.55,61%,4.82,23%,27%,34%,Above average,135575;142853;147072,3,1,1,1,0,0,435,23%,77%
202324,Academic year,Multi-academy trust,The Brooke Weston Trust,2471,TR00327,2400784,10058154,East Midlands,135306;135317;135967;137867;138254,5,0,4,1,0,0,5,0,0,5,1019,102.9,26%,74%,25%,13%,43.4,95%,0.01,-0.08,0.1,42%,3.89,17%,28%,48%,34,-0.53,-0.7,-0.35,24%,2.97,8%,14%,39%,46.8,0.2,0.1,0.31,48%,4.22,20%,33%,51%,Average,135306;135317;135967;137867;138254,5,0,4,1,0,0,1019,26%,74%
202324,Academic year,Multi-academy trust,Bmat Education,2497,TR00353,7843166,10059426,East of England,137694;141328;143697;145050;145410;145931;148423,7,1,4,1,0,1,7,1,0,6,973,103.3,31%,69%,20%,17%,41.6,92%,-0.32,-0.42,-0.23,39%,3.72,12%,19%,41%,34.2,-0.76,-0.92,-0.59,28%,3.07,6%,12%,35%,44.9,-0.13,-0.24,-0.02,44%,4.01,15%,22%,43%,Below average,137694;141328;143697;145050;145410;145931;148423,7,1,4,1,0,1,973,31%,69%
202324,Academic year,Multi-academy trust,Cabot Learning Federation,2516,TR00367,6207590,10058211,South West,135295;135300;135959;136708;137106;141042;142079;144509;147351,9,1,7,0,1,0,9,0,0,9,1535,102.6,31%,69%,18%,24%,43.6,94%,0.06,-0.01,0.13,39%,3.72,9%,16%,29%,35.4,-0.31,-0.44,-0.17,23%,2.97,3%,7%,24%,47.3,0.23,0.14,0.31,46%,4.07,12%,19%,31%,Average,135295;135300;135959;136708;137106;137752;141042;142079;144509;147351,10,2,7,0,1,0,1735,30%,70%
202324,Academic year,Multi-academy trust,Meridian Trust,2526,TR00375,7552498,10053421,East of England,136470;136471;136580;136974;137082;137600;137886;139401;139988;142902;143404;148128,12,9,2,0,0,1,12,4,1,7,2109,104,18%,82%,10%,9%,48,96%,0.24,0.18,0.3,46%,4.21,17%,25%,37%,36.7,-0.29,-0.44,-0.14,24%,3.13,5%,11%,24%,50.5,0.36,0.29,0.43,51%,4.45,19%,28%,40%,Above average,136470;136471;136580;136974;137082;137600;137886;139401;139988;142902;143404;148128,12,9,2,0,0,1,2109,18%,82%
202324,Academic year,Multi-academy trust,The Cardinal Hume Academies Trust,2543,TR00389,8148675,10059941,London,139362;139369;143082,3,3,0,0,0,0,3,0,0,3,549,104.7,28%,72%,31%,18%,52.9,89%,0.55,0.43,0.68,56%,4.89,27%,43%,86%,49.7,0.39,0.15,0.62,53%,4.58,21%,36%,83%,54.1,0.61,0.47,0.76,57%,5.02,30%,46%,87%,Well above average,139362;139369;143082,3,3,0,0,0,0,549,28%,72%
202324,Academic year,Multi-academy trust,Bishop Wilkinson Catholic Education Trust,16035,TR00390,7890590,10059486,North East,137851;137852;138172;143583;147142,5,5,0,0,0,0,5,0,3,2,1165,105.9,19%,81%,7%,7%,53,98%,0.36,0.28,0.44,57%,4.8,28%,42%,62%,44.5,-0.08,-0.27,0.11,38%,3.99,18%,29%,51%,55,0.46,0.37,0.55,62%,4.98,30%,45%,64%,Above average,137851;137852;138172;143583;147142,5,5,0,0,0,0,1165,19%,81%
202324,Academic year,Multi-academy trust,Bishop Hogarth Catholic Education Trust,2548,TR00392,7808732,10055116,North East,137622;137702;139656;140867;141370,5,3,2,0,0,0,5,0,2,3,1080,105.5,23%,77%,7%,14%,47.2,99%,-0.14,-0.22,-0.05,46%,4.09,15%,26%,45%,36.3,-0.7,-0.87,-0.52,29%,3.06,9%,15%,30%,50.5,0.03,-0.07,0.13,51%,4.41,17%,29%,50%,Below average,137622;137702;139656;140867;141370,5,3,2,0,0,0,1080,23%,77%
202324,Academic year,Multi-academy trust,Castle Phoenix Trust,2565,TR00407,8331385,10060243,West Midlands,139292;145019;146436,3,1,2,0,0,0,3,0,0,3,589,102.9,19%,81%,20%,14%,43,97%,-0.04,-0.16,0.07,42%,3.6,6%,9%,19%,32.7,-0.43,-0.7,-0.17,21%,2.66,4%,5%,9%,45.5,0.05,-0.08,0.18,47%,3.83,7%,10%,21%,Average,139292;145019;146436,3,1,2,0,0,0,589,19%,81%
202324,Academic year,Multi-academy trust,Castle School Education Trust,2567,TR00409,8397975,10060317,South West,139345;139348;141341;142008,4,2,2,0,0,0,4,0,0,4,785,104.6,14%,86%,8%,11%,47.5,94%,0.03,-0.07,0.13,46%,4.27,21%,28%,41%,32.3,-0.73,-1,-0.46,14%,2.74,4%,7%,23%,49.9,0.16,0.05,0.27,52%,4.52,23%,31%,44%,Average,139345;139348;141341;142008,4,2,2,0,0,0,785,14%,86%
202324,Academic year,Multi-academy trust,Central Learning Partnership Trust,2594,TR00427,7827368,10059395,West Midlands,137730;138098;145114,3,1,2,0,0,0,3,0,0,3,558,104.3,39%,61%,23%,24%,48.1,98%,0.16,0.05,0.28,42%,3.58,1%,3%,6%,42.8,-0.01,-0.2,0.18,31%,3.13,1%,1%,3%,51.5,0.28,0.13,0.43,50%,3.88,2%,4%,8%,Above average,137730;138098;145114,3,1,2,0,0,0,558,39%,61%
202324,Academic year,Multi-academy trust,Anthem Schools Trust,2597,TR00429,7468210,10058447,East Midlands,134003;136261;137873;138367;138571,5,1,3,1,0,0,5,0,0,5,893,103,24%,76%,24%,19%,43.6,94%,-0.03,-0.12,0.07,41%,3.84,14%,21%,35%,38.3,-0.24,-0.44,-0.05,32%,3.38,11%,18%,34%,45.3,0.04,-0.07,0.15,44%,3.98,15%,22%,36%,Average,134003;136261;137873;138367;138571,5,1,3,1,0,0,893,24%,76%
202324,Academic year,Multi-academy trust,The Laurus Trust,2627,TR00453,7907463,10054410,North West,137843;137923;143729;145893;145894,5,2,0,3,0,0,5,0,0,5,1088,105.4,20%,80%,14%,19%,54.4,97%,0.58,0.49,0.66,59%,5.2,41%,57%,77%,43.1,0.12,-0.07,0.31,41%,4,22%,33%,60%,57.3,0.69,0.6,0.79,64%,5.49,46%,63%,81%,Well above average,137843;137923;143729;145893;145894;149936,6,3,0,3,0,0,1338,18%,82%
202324,Academic year,Multi-academy trust,River Learning Trust,2644,TR00467,7966500,10059630,South East,137936;137970;138817;138897;140875;145139;147203;148354,8,6,1,1,0,0,8,2,0,6,1464,104.7,22%,78%,17%,18%,50.4,92%,0.25,0.17,0.32,55%,4.49,23%,29%,36%,34.9,-0.56,-0.72,-0.4,29%,3.04,8%,12%,22%,54.4,0.46,0.37,0.54,62%,4.86,26%,33%,40%,Above average,137936;137970;138817;138897;139146;140875;145139;147203;148354,9,7,1,1,0,0,1734,22%,78%
202324,Academic year,Multi-academy trust,Chiltern Learning Trust,2661,TR00480,7559901,10055370,East of England,136319;136651;137462;144311;144312;145872,6,5,0,1,0,0,6,0,0,6,1383,103.5,26%,74%,53%,11%,49.4,94%,0.42,0.34,0.5,53%,4.45,25%,35%,51%,44.2,0.26,0.11,0.41,43%,3.96,20%,29%,44%,51.1,0.47,0.38,0.56,57%,4.61,27%,38%,54%,Above average,136319;136651;137462;138067;142387;144311;144312;145872;149208,9,6,2,1,0,0,1832,28%,72%
202324,Academic year,Multi-academy trust,The Learning Trust,16429,TR00495,7523884,10058507,North West,136645;143817;144742,3,1,1,0,1,0,3,0,0,3,426,105.6,20%,80%,7%,12%,48.2,90%,-0.07,-0.21,0.07,50%,4.29,19%,25%,42%,33.7,-0.73,-1.04,-0.42,20%,2.94,6%,13%,28%,51.8,0.11,-0.05,0.27,57%,4.63,22%,28%,45%,Average,136645;143817;144742,3,1,1,0,1,0,426,20%,80%
202324,Academic year,Multi-academy trust,City Of London Academies Trust,2705,TR00514,4504128,10058170,London,134222;135587;135835;143659;143756;144962,6,0,4,2,0,0,6,0,0,6,954,104.5,56%,44%,37%,20%,50.4,95%,0.34,0.25,0.44,54%,4.64,28%,40%,56%,46,0.11,-0.01,0.23,47%,4.18,21%,33%,50%,56,0.65,0.51,0.79,64%,5.22,37%,49%,64%,Above average,134222;135587;135835;143659;143756;144962,6,0,4,2,0,0,954,56%,44%
202324,Academic year,Multi-academy trust,The Sigma Trust,16257,TR00517,7926573,10059545,East of England,137927;137937;137944;138084;145061;146794;146795;147080,8,6,1,1,0,0,8,0,0,8,1814,103.8,22%,78%,7%,11%,42.9,95%,-0.21,-0.28,-0.14,40%,3.71,11%,18%,36%,32.3,-0.82,-0.96,-0.67,21%,2.74,5%,9%,22%,46,-0.03,-0.11,0.04,45%,4,13%,21%,40%,Below average,137927;137937;137944;138084;145061;146794;146795;147080,8,6,1,1,0,0,1814,22%,78%
202324,Academic year,Multi-academy trust,Coastal Academies Trust,2731,TR00532,7552665,10058585,South East,136571;136584;136585,3,3,0,0,0,0,3,0,0,3,433,105,32%,68%,9%,19%,47.8,95%,0.05,-0.09,0.18,48%,4.3,25%,33%,45%,35.4,-0.49,-0.73,-0.25,25%,3.05,10%,14%,24%,53.7,0.31,0.14,0.48,59%,4.89,33%,41%,54%,Average,136571;136584;136585;149554,4,3,1,0,0,0,601,38%,62%
202324,Academic year,Multi-academy trust,Alpha Trust,16995,TR00537,7755713,10059294,East of England,137515;137926;137945,3,3,0,0,0,0,3,0,0,3,643,107,10%,90%,14%,8%,58.1,92%,0.48,0.37,0.6,65%,5.28,32%,36%,44%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,Above average,137515;137926;137945,3,3,0,0,0,0,643,10%,90%
202324,Academic year,Multi-academy trust,Shireland Collegiate Academy Trust,2744,TR00543,6336693,10058221,West Midlands,135170;143818;147182,3,0,2,1,0,0,3,0,0,3,611,102.7,39%,61%,31%,14%,42.6,96%,-0.04,-0.16,0.07,35%,3.61,7%,13%,59%,38.2,-0.2,-0.39,-0.02,28%,3.21,6%,7%,55%,45.4,0.06,-0.08,0.21,39%,3.87,8%,16%,62%,Average,135170;143818;147182,3,0,2,1,0,0,611,39%,61%
202324,Academic year,Multi-academy trust,The Cam Academy Trust,2753,TR00550,7491945,10055220,East of England,136463;137248;137527;139408,4,3,0,1,0,0,4,0,0,4,948,104.4,18%,82%,14%,11%,48.2,90%,0.1,0,0.19,50%,4.28,18%,24%,37%,34,-0.54,-0.76,-0.32,27%,2.9,5%,8%,19%,51.3,0.24,0.14,0.35,56%,4.59,21%,28%,41%,Average,136463;137248;137527;139408,4,3,0,1,0,0,948,18%,82%
